model,FGOALS-g2,MIROC-ESM,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,BNU-ESM,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,GFDL-ESM2G,EC-EARTH,EC-EARTH,GFDL-ESM2M,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,NorESM1-M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run1,run1,run2,run3,run4,run5,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run2,run3,run4,run5,run6,run1,run8,run12,run1,run1,run2,run3,run4,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run1,run1,run1,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,275.316311431,278.621077916,277.056214121,280.733294781,277.261917836,277.162157972,275.304469749,279.31514376,277.667527361,278.100299459,278.402689253,277.290223221,278.913952676,279.487418579,277.997366929,278.684615732,278.572432226,277.933106017,279.425652919,278.342630738,279.740731621,276.962229268,280.674557491,278.439518834,280.839720239,276.957806206,278.338225601,278.317014369,277.326676988,278.84259225,277.674332907,277.579147604,278.881551104,279.494049072,277.044721251,279.718218724,278.489764359,279.027472414,279.992910776,280.809456326,278.137451916,278.296823275,280.690506794,278.014006832,278.557743091,280.114631413,281.147175295,280.050651562,281.012033752,280.228760049,281.233886441,278.883682354,282.557176865,280.519046047,279.887332816,277.368448212,280.535374184,280.387952087,278.014859906,278.912774915,278.8685004,278.43533571
2006-02-01,276.673522585,279.239986259,278.888512872,280.930510917,282.341027218,279.068788878,277.745869648,278.604167939,278.802313566,278.546223263,280.436174045,278.981233528,280.578700786,279.656221724,279.641701254,279.854993352,278.743361743,279.339468141,280.060930305,278.761566513,282.626886451,282.423827576,281.267312227,281.122107761,280.361272832,277.352643844,279.140789022,279.185823758,280.464918945,280.220171838,278.177281993,277.668699952,280.289762068,276.988433838,278.701607701,280.06922261,282.357753669,278.880470767,280.435696239,279.887160649,281.466752603,279.94139599,281.234362942,278.705471572,280.090022669,281.279826091,280.731638802,283.524184335,282.354580099,282.2992468,283.062416968,282.143425746,281.951240358,279.835793063,280.323202318,279.922619714,280.808476368,280.274982644,278.590669538,277.797683749,281.930755812,279.13041114
2006-03-01,278.124810659,281.865550069,281.78431209,281.548000057,284.735789391,281.798978298,280.207473648,279.987183239,281.416640786,281.871628334,280.647284041,281.148697693,281.015349242,279.413439021,280.583387488,282.479922917,281.128241768,280.560840434,281.673488609,282.776837061,283.759935623,283.475183803,283.337266986,283.787700335,280.960247127,282.289761727,280.216510903,279.899412274,279.340308393,280.318936842,280.91229862,281.853404256,280.133145763,282.128204346,280.508072844,282.586359383,284.113010249,280.765164691,280.987006882,278.786560713,282.057098528,280.099115386,280.905224185,281.85464565,282.146646867,283.479932016,282.265630962,284.677451271,284.367012726,284.472205624,283.272786021,284.572242044,285.571322714,282.853512078,280.434169786,281.365456471,283.87195699,281.49691573,279.297257037,280.806756639,283.328519937,281.729443762
2006-04-01,279.731480352,284.264471746,284.623556977,283.555955257,281.420026388,281.945294674,284.606020512,280.985896627,284.473894306,283.721838552,284.953427242,283.596796295,284.397318205,282.049953217,282.647748682,283.086179957,284.620973045,282.181243752,281.343677818,285.471362771,284.963975694,283.187536924,283.985509805,286.618499678,285.322588357,284.193621152,284.334857045,281.707853256,283.189830831,284.512496264,280.825565803,283.731628791,284.33424102,286.673736572,284.424807649,287.380085118,285.838476621,284.270399522,284.803315939,283.518660352,283.508815166,284.349768178,282.470409532,283.830541848,283.328561508,283.784881356,283.735113729,286.352049075,286.990698837,285.933839599,287.700848584,286.608242837,286.362531364,283.85838794,284.175604008,282.531248442,285.564319489,284.394267503,280.537786323,286.354504205,285.825251567,283.204566279
2006-05-01,285.506518427,287.420449083,288.467310177,289.432350902,287.775652838,290.553260899,289.812174345,286.698697079,285.824982876,286.88066711,286.37487197,286.440646598,285.685656539,286.046849891,287.076593818,285.973346947,286.580779424,286.114484259,288.769830826,289.384072784,288.613296049,290.454889282,289.027064829,289.389820272,288.601064185,288.3286648,286.029487014,284.57713552,287.682821787,288.097242709,287.746887401,288.467993536,286.367147223,289.9012146,288.401629569,292.870247635,292.788549786,287.451716021,286.044927336,286.511979357,286.438963319,286.206906444,286.913003138,290.643904136,288.223890388,287.525866701,287.053676838,290.203577521,290.633304418,290.01223562,288.117149345,289.883961695,290.40923811,286.272014719,287.795925957,287.038722459,286.047650554,287.677597082,289.312729862,288.805093585,288.993872963,286.693470724
2006-06-01,289.069271744,294.165978021,292.331765952,292.065686607,293.350228053,293.596967158,292.476992401,289.903503775,292.006778181,291.544997296,292.45238067,292.609664081,291.081648717,293.286537216,290.415292044,291.771420531,290.455196757,292.080402256,293.086569992,291.734969512,293.126572222,293.047006726,293.797642327,290.871321763,290.565465051,293.375198341,291.83611154,292.00792013,292.770554897,292.4011013,291.726842308,291.632578009,292.282574085,295.108459473,294.36999239,298.153091738,298.737707632,292.103545122,291.485428676,289.51894049,289.009544344,291.699385315,288.85887836,292.431566792,291.078167257,290.073081838,289.729886795,294.779823393,293.545364067,293.588455452,293.135071134,294.570799171,293.291303017,288.524646036,292.709760334,290.938451205,290.401533599,290.140567011,291.287899401,291.819513931,293.434845714,292.298529736
2006-07-01,291.66046072,296.616888554,297.527760028,297.598643522,298.259695481,297.621375787,297.532163099,292.859385127,295.580374426,294.907734341,294.577111315,294.948518757,295.820375655,296.246386452,294.569782333,293.682468857,295.018856385,295.278092476,298.538510176,297.29004023,296.989014727,296.558644302,297.780303624,296.852265909,295.398674703,295.166091459,293.124379275,294.830158438,294.249471619,296.511599077,295.583566791,295.632771535,295.509402014,297.12701416,299.883851579,302.164415065,300.818179589,297.261707538,295.488853507,292.357690261,294.324266948,294.660605708,293.312992614,295.96852491,293.88229471,295.415433947,293.786152949,298.258997909,297.99172597,297.793859347,296.321248447,296.206891543,297.643437774,291.167568397,297.50931341,294.536517427,294.598583746,294.669112327,295.52274811,296.013370411,296.412692205,295.27439217
2006-08-01,294.013294616,296.118174424,297.369821133,297.613063905,296.510374211,296.411295208,296.872517146,293.808276144,294.603562292,293.800942561,295.50538638,294.337380744,296.194819913,294.283150055,295.861174357,293.409684402,295.263813075,294.966387315,300.014878218,295.660958121,296.826713893,295.44929844,297.046802995,296.564557381,297.865968904,294.961073791,295.287954474,293.852662482,294.391128261,295.452915897,296.272253363,295.651593635,295.588630294,297.296020508,300.434615979,300.3717306,300.142499629,297.484988361,295.628857022,294.641391657,295.894543338,295.552046122,296.239822413,296.307667929,294.126322555,295.571745632,292.971152952,296.890752454,296.393949838,295.47025939,296.505281323,296.59631271,295.399450237,294.037152369,293.474100112,295.499652306,295.728807052,296.519444824,294.085297647,296.664656447,295.523599312,296.336911843
