time,FGOALS-g2,FIO-ESM,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,HadGEM2-AO,BNU-ESM,CCSM4,GFDL-ESM2G,MRI-CGCM3,GFDL-ESM2M,NorESM1-M,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,NorESM1-ME,HadGEM2-ES,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
1683-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-08-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-09-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-10-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-11-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683-12-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-01-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-02-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
