model,ACCESS1-0,ACCESS1-3,FGOALS-g2,FIO-ESM,FIO-ESM,FIO-ESM,CMCC-CMS,IPSL-CM5B-LR,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,CMCC-CM,FGOALS-s2,FGOALS-s2,MRI-ESM1,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,GISS-E2-R-CC,BNU-ESM,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,GFDL-ESM2G,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,GFDL-ESM2M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,CNRM-CM5,CNRM-CM5,CNRM-CM5,GISS-E2-H,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,GISS-E2-R,HadGEM2-CC,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run1,run1,run1,run2,run3,run1,run1,run1,run1,run2,run3,run4,run5,run1,run2,run3,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run5,run6,run7,run8,run9,run11,run12,run13,run14,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run2,run4,run6,run10,run1,run2,run1,run1,run1,run2,run3,run4,run1,run2,run2,run3,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,249.709333761,255.115815369,248.601355964,255.004154215,250.189787074,257.806868359,247.059303974,243.479080723,257.604017607,253.50332486,253.46312742,253.437137693,257.344530606,254.401844768,251.164868077,245.301460161,257.723642591,252.575624684,251.594153959,251.268151395,250.013783845,244.99206656,247.511926637,252.154802552,249.578068363,251.320427601,250.09005054,246.93861704,249.900473955,250.385783523,246.035483721,255.280146853,254.345915049,255.505301046,251.878235286,251.411423054,250.395804734,258.252458532,252.529448202,253.160485754,246.391696184,254.509590044,255.617279997,256.433650305,251.664468971,253.793578614,254.245868693,245.707439408,247.76445487,250.788633698,252.760453142,251.042086482,256.010184632,249.321049992,255.299230547,252.906329524,257.555904823,251.994101979,252.401260713,252.296840011,253.261193791,249.916641417,247.392058396,249.929350453,248.765182688,254.630824441,246.81940389,243.798803426,252.178819146,253.008614856,255.908136384,249.128571258,255.632885972,249.390005713,252.374301876,248.268235636,250.384098389,248.01037626,257.283271171,253.716351061,243.787238802,247.105437281,260.27114344,248.51916753,255.961201816,254.49882405,253.343018883,256.120640535,249.528516574,243.621258406,251.05777056
2006-02-01,249.283216553,256.782988225,250.007304162,257.853749668,260.652101719,259.33330083,251.949537134,245.535577859,259.790207275,256.683448453,256.784722662,254.542258413,257.886657097,253.056297096,255.221494195,254.652857544,256.162094764,258.683663174,261.100288224,254.085771371,250.81294544,255.409362689,255.01665287,254.175349847,254.295312683,251.544398556,257.437588298,251.076222026,252.631318813,253.47986276,251.903660444,259.846218919,260.133003691,249.259326086,259.729023432,260.568084624,255.63001152,255.828747877,255.163161003,254.192434167,256.345546915,258.68177604,252.909467194,256.990220584,258.702004821,258.990908597,253.84173529,251.703344189,257.827990902,255.752293081,257.554544487,256.841813862,255.585111193,254.674331363,259.380328624,256.954552455,254.271970895,257.104087742,256.43517564,257.777004666,251.089003223,253.274124578,248.965891001,253.067212436,254.264864757,261.402584163,250.457258618,251.320364506,250.231237678,251.796370887,258.271651064,257.813553824,256.932925189,254.441778025,257.808902027,253.23836083,255.03974068,250.650062407,260.810586161,256.010616331,250.791011723,252.04343847,259.083089171,248.680082232,256.97357787,255.953636199,255.115488017,256.911884963,253.709698288,253.77173787,252.870819312
2006-03-01,258.308121401,267.526889449,261.350148032,265.164571731,267.614091822,263.521265825,257.239110697,258.798166652,263.711314692,264.67280202,258.726814167,262.979570743,260.185627883,261.262498652,262.287637838,262.365012159,265.546073804,265.249929219,263.430617807,261.579558451,261.480275636,264.68418139,262.31052933,261.664831491,262.608900206,259.519428152,261.283737451,262.380901846,263.213194806,259.086202043,259.429197224,265.467845379,262.564019078,259.823348059,262.680073994,263.459931204,261.310411918,263.459817845,259.530270263,264.77282755,264.292391581,265.16089971,262.01581636,264.754922564,263.985593467,263.494659618,266.55325574,262.866199288,262.084004076,259.304755778,265.373284837,263.094056202,264.992879489,260.838262252,262.917980238,262.398783824,262.535421244,263.179634149,258.258006891,264.584846675,264.736746883,261.876861494,259.344776169,259.734132237,260.051387045,267.53971966,256.808813274,256.131761573,253.253238914,258.942062393,263.887932884,264.097380535,260.583574078,257.641752431,265.711141081,258.317006887,262.346942154,264.085554613,264.481090427,263.375508618,254.9778359,261.814750443,265.286987423,256.079772144,263.493396322,266.592180203,263.041635452,265.295229527,264.086071213,264.174123798,256.175627567
2006-04-01,272.747661519,275.112558298,267.913377554,275.512750039,275.40877589,272.152592007,269.857075163,270.960389341,271.718543818,270.677567829,269.971907499,269.937834928,267.772912352,269.217713878,269.582391891,273.941383074,273.021454383,271.421120764,272.987260899,272.582071054,273.44406461,273.242204467,273.1109988,273.227903107,271.65500631,271.777262139,272.978466371,273.621143487,272.441937322,268.72989555,271.517054719,272.421817437,271.269629262,272.865031387,272.434229042,274.159978585,270.195024429,270.123795244,272.143833089,276.577638158,272.594616232,273.382651159,273.19046036,275.456991194,271.992236594,272.363062825,270.755815819,270.224894886,270.095529959,270.522870709,273.382359347,272.951271203,271.358986838,270.383847099,270.870117598,271.192725789,270.44381369,268.882214579,272.158324073,274.978802961,273.01092788,271.302515207,269.862092195,273.902606015,269.497313536,272.101957702,268.717509948,267.807696541,267.227650104,270.823005026,272.135984537,273.212265811,271.415151322,267.894491765,271.92780644,267.555132801,274.623142424,272.471429987,272.581935811,271.58432659,268.491210031,270.424591648,272.416243551,262.322719962,273.896169806,275.927888132,273.543613206,274.866800722,270.877955042,274.764697719,271.997233985
2006-05-01,280.924809083,281.776961043,276.769764106,281.524937961,281.024116665,282.817499214,278.73131409,281.941152068,282.074346798,279.113788735,280.196727808,281.004789286,279.75700912,280.972464986,279.149416993,284.821790076,285.057902815,281.239192688,280.11781014,283.46909311,281.846586946,282.689462731,281.610549784,282.342344844,281.600809796,282.650588821,281.927226994,281.981670767,282.030193655,280.177546994,284.363190077,283.60280177,282.358693771,284.568625844,282.09181078,283.732959917,281.427346874,275.049861959,281.391231248,282.159841886,280.233749305,281.085196066,281.70841945,282.46280927,280.786460355,277.908366023,278.581235832,278.397140265,278.820886775,279.134463118,278.303619774,278.824187085,279.353378649,279.241316531,278.205970238,279.82340559,279.345478348,285.43730851,283.005064455,283.887990204,282.844664314,281.213729935,280.615448579,282.211480002,280.253155727,278.834417559,278.278998673,278.729381798,278.973606346,277.115466668,281.791748608,281.873339994,281.323061887,279.25463147,279.989542337,280.753076759,284.009027958,282.734493903,280.943754081,280.722059656,283.928287196,282.602336115,283.578150305,276.240990776,280.917881278,282.249968336,280.112704486,281.595047354,280.689856941,281.11465495,281.534277745
2006-06-01,290.189639572,289.494869616,286.064554009,289.031166754,288.106122404,288.03354024,286.930611051,289.15922216,290.127618161,290.624615028,290.386351482,292.077935602,290.916176593,291.037819117,286.425943473,295.910649985,295.536514031,288.544192273,286.576269961,290.580376384,290.48784762,290.641262702,290.754090219,290.129858137,290.118845381,289.079397527,288.836695816,289.828073039,290.632866761,289.609434368,290.358532399,291.887372334,293.031002199,290.947446697,291.112172163,290.860835055,288.921519916,287.321212976,289.076669791,291.317425539,289.782852696,288.527609293,288.480688154,291.142080773,286.639216101,285.545261535,285.462118398,285.926813909,287.220164752,286.833449577,286.614384227,286.430846868,287.040144208,287.42036426,285.65723089,287.48836437,287.765446863,292.431015763,291.400289221,292.83213888,290.353034234,288.387943142,288.619824179,288.464965393,288.140950054,286.435659284,287.762076074,288.481302083,288.232487845,286.668153806,287.787849631,288.192899543,291.187922661,288.811451983,285.938262099,290.434994057,290.882651349,291.027565335,287.715842915,289.291013239,289.605070431,289.961501736,290.177030269,286.738281276,288.984060144,286.16469528,287.896497431,287.417238182,288.724234577,289.036623128,288.31860945
2006-07-01,294.096582677,294.747026962,289.894798981,291.826627653,291.926464728,291.89381325,289.323648098,290.601304213,294.909429453,295.507718658,295.355017087,295.278646726,294.652191494,294.751134036,289.075283057,299.814310009,297.733294504,290.614841713,289.295101871,294.199113772,291.690542268,291.952408188,291.931583508,290.899660114,293.390334646,293.626387166,293.429051373,292.858844064,292.983311693,294.314731444,291.71471582,295.855141808,295.26850593,296.076111761,295.725147349,295.47997147,292.223201028,292.360044638,293.772289503,293.905782485,293.250531369,294.781976563,294.561975261,294.536632574,288.858923263,290.562066499,290.090289732,290.659142771,290.327464699,290.225101726,290.517591005,289.725502129,289.692256076,289.813049959,289.940446301,289.06308121,290.511672672,295.169367003,295.284358152,297.228330125,292.955837363,291.916089314,292.883007388,291.720107957,292.554549194,290.135611949,293.615889936,293.567784904,292.420726845,293.115692169,292.656213437,291.669669817,294.617536353,291.298169644,291.877262871,291.342272589,294.49877649,293.088233584,291.608634972,290.910782605,293.369112723,292.918167206,291.482862735,289.343998856,291.390961427,290.785333156,290.847045104,291.657815858,291.567933406,292.370227175,290.702953742
2006-08-01,290.446266991,291.67784065,288.092903925,288.957193599,287.475330742,287.410775838,286.808935815,288.475119896,291.613855303,292.141994102,291.50997105,292.495441364,292.068849875,292.336942134,285.913605941,295.349996881,295.573782299,288.436453186,287.780187332,288.730718764,289.493786928,288.016018718,289.088184511,288.11052422,288.600983074,289.495967438,288.714028349,289.499500108,287.699363775,290.636408199,286.715969621,293.025094164,292.150923292,292.259163837,291.562182821,291.517267325,288.804514275,289.162556517,291.016072632,290.773705526,290.447162452,291.436596867,290.354836732,290.644914126,287.164229453,287.401831208,288.549335206,288.312231863,287.086348423,288.24210857,288.268024442,288.011315964,286.809668975,288.347697111,288.720205004,287.110178826,287.770883749,292.574389017,292.456806091,293.231294034,290.499710496,289.836117528,289.447377897,289.527372417,289.868949859,289.075282995,290.837837257,290.701052379,290.365940042,289.857824637,287.1866683,288.934229411,290.83339819,288.287230636,288.330161372,289.429551573,290.415327801,290.853847789,289.165184283,289.057687978,288.385377709,289.231136929,289.027584608,285.208795575,288.735457447,287.462651168,287.511865218,289.834892944,288.592041942,290.521714404,289.359134578
2006-09-01,282.951329582,281.566407397,278.922673497,283.320471881,280.686858505,280.129469462,280.593391002,281.672740037,282.612917845,283.617722527,283.773951369,283.653374133,284.175466871,285.2177604,280.284389773,285.249758833,285.827760049,280.820178699,280.887090158,281.498839548,279.623614029,281.800515376,280.097955582,279.341981401,280.021808601,282.124555972,280.774109439,279.062018881,280.762248806,281.200948269,280.18425448,282.246597585,282.927916708,282.698864922,282.437126478,281.445208737,281.495712234,281.499689004,283.017751716,282.805530068,283.074726858,283.646599811,281.914473138,282.908240449,279.996142004,280.592817775,280.273315202,279.738047231,280.997290214,281.173910307,281.430507419,279.703329706,279.942513428,280.540226526,280.449089811,278.847817063,279.615264079,282.574617412,283.079238885,284.08817531,282.06574476,282.654241665,281.971464773,281.509585507,282.750131005,282.119459472,281.910967804,282.970904263,280.949643362,282.54571563,281.510902314,279.777869111,283.153946758,279.557730462,280.546527982,283.765598276,281.359737601,282.828205382,282.734833447,281.700921782,281.019551472,281.289859166,282.130920635,278.426254034,279.86286818,280.961261265,280.369613555,280.202542089,281.954007224,281.047920276,280.593439667
2006-10-01,271.004031793,272.75377523,264.211171404,270.744400843,274.733542729,272.463638056,268.871785086,268.643494442,274.278268031,271.266576371,273.090569505,273.401260862,273.335044325,275.108569376,270.75897179,275.721914175,276.050050821,271.174560372,272.875542065,271.683932255,270.551702326,271.193993234,269.060058826,271.394458627,271.617049952,272.019285846,270.919224284,268.085164455,270.141983056,268.632689355,271.989141952,274.225092299,276.00383734,275.007436312,275.532181682,273.07725539,271.172571532,271.077684505,270.942449489,273.494927587,273.04843229,271.756308818,270.39201879,272.77473821,270.364664432,270.987826514,269.051947423,271.405877997,272.741749128,271.297908027,268.486960603,272.532948328,272.167407255,271.471147596,272.177137496,270.259994964,270.175852583,273.315449932,270.984871606,271.51484453,271.967010448,271.598068149,272.402196442,270.257522216,269.270101677,272.673059453,272.740636961,271.412299553,272.438071839,271.2890617,272.228196038,273.506719365,271.600833969,269.829276224,270.425198783,272.350082344,273.921499741,274.23672543,274.342309484,271.758468207,270.807605618,272.130813049,273.762554276,265.646958054,271.311924826,272.305006138,274.448579136,270.307605388,270.928317026,271.141943962,271.876997525
2006-11-01,257.438014085,261.161550909,253.290384058,262.440870814,260.678393018,260.090291649,256.658958712,252.185804595,265.050493094,260.594249114,263.804253814,266.084089884,262.690111437,262.392383616,257.104666262,267.924543242,262.111522577,260.206432916,264.227855754,260.235451945,258.843546978,259.164974498,259.383120001,257.670455107,259.29275916,262.388839859,257.557051414,259.386045166,262.381125659,263.519923837,259.274554323,265.01357048,260.570631437,265.885140429,268.600475481,261.536342642,262.38678911,261.602543878,263.553321099,259.050919422,259.299052353,261.247139374,261.265876608,261.489271196,261.388265274,254.917558468,263.363221528,258.786242612,260.305411357,260.766729119,261.158110426,263.507846536,260.897597044,258.742932899,264.032294679,257.871890614,265.527720618,261.245411739,259.357977943,261.690251638,261.996125614,259.799498625,260.414587257,260.203191155,257.284142069,265.059860851,257.436952938,259.571281401,257.206544908,256.200146282,262.128310808,265.232108503,265.349202303,258.925352343,253.119938308,258.097582565,259.440234905,257.942088187,266.101640695,263.686312158,256.748780121,258.334595202,264.526212608,259.070496511,264.714500376,260.444646727,262.082236419,263.269390648,263.338329529,255.788038589,262.624308121
2006-12-01,252.717428425,256.146977858,244.938737038,254.17389956,255.090189254,251.27781504,251.02998142,245.949640824,259.564852394,256.390838796,257.345295416,253.679370625,256.45864469,254.873628314,251.611985018,257.446494433,255.898134864,253.348794558,255.496197272,250.441104415,247.940197652,248.127201511,249.048456657,250.590543436,254.134931862,252.338533618,251.30186318,250.761963132,253.262855483,255.256396467,254.16958563,257.569643694,255.775005174,253.962002506,260.574108337,257.52910088,255.840047196,258.315928847,253.599341928,253.62417203,257.744725638,252.071366252,255.27659521,251.628563054,256.892931078,247.22618109,249.269759026,252.688123307,257.224243615,256.759383945,248.504302774,252.895305652,251.633672683,255.844772827,255.180685737,250.790138638,260.020692028,252.993527618,254.734159072,253.017482828,257.112934267,251.940694597,253.519607527,249.28848711,252.135158908,254.380711431,246.868139062,254.608430113,251.852733285,253.528479978,251.142675313,261.064274648,259.290690969,250.894778946,252.378514294,252.144037142,250.181916386,250.56538676,258.381471014,258.645259161,249.271902632,251.45813848,257.853880031,248.406254909,257.054939496,254.010802297,256.832052407,252.528596736,255.73393372,245.194404685,248.171871455
