time,bcc-csm1-1-m,ACCESS1-0,ACCESS1-3,FGOALS-g2,FIO-ESM,CMCC-CMS,MPI-ESM-LR,IPSL-CM5B-LR,MIROC-ESM,MIROC5,CMCC-CM,MPI-ESM-MR,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CanESM2,GISS-E2-R-CC,BNU-ESM,CCSM4,GFDL-ESM2G,EC-EARTH,GFDL-ESM2M,NorESM1-M,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-ESM1,NorESM1-ME,HadGEM2-AO,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,MRI-CGCM3,HadGEM2-ES,bcc-csm1-1,CESM1-CAM5
2006-10-01,2.38873168049e-05,2.64898708771e-05,2.80867902477e-05,2.19607514737e-05,3.3743016805e-05,3.3290477586e-05,1.82524593713e-05,4.14861502804e-05,2.12190188298e-05,1.65857531192e-05,2.29147461306e-05,3.09515274629e-05,1.52643823705e-05,3.4220042495e-05,4.03573154992e-05,4.27342195811e-05,2.45002238444e-05,6.80413868395e-05,6.26960704676e-05,2.3429715687e-05,4.7924159476e-05,4.87972455529e-05,1.09996881292e-05,1.38014655931e-05,3.09044237838e-05,1.28025994499e-05,4.32502897638e-05,2.35803802525e-05,5.79052429733e-05,4.86567029535e-05,4.13455972345e-05,3.67348685359e-05,2.04306932985e-05,5.24766863161e-05,1.42442610349e-05,5.39672299359e-05,3.4651162423e-05,4.13809092866e-05,2.29771208177e-05,1.47420996048e-05,2.97065339004e-05
2006-11-01,4.19021186666e-05,5.58957692322e-05,3.9329889075e-05,3.96305481748e-05,5.30581045799e-05,4.72035658147e-05,5.17191427727e-05,4.5094950508e-05,6.52721166261e-05,3.85118937629e-05,2.9777218717e-05,3.52886638471e-05,2.77203379613e-05,3.18006062327e-05,7.50278477686e-05,5.1887639529e-05,4.15543178557e-05,5.47019701723e-05,4.5867800711e-05,3.53492485677e-05,2.96625084131e-05,5.1162892305e-05,6.48910208838e-05,1.91821109411e-05,2.1905416075e-05,2.7016539434e-05,2.91701491998e-05,5.61992805069e-05,6.1314948501e-05,7.60221236609e-05,7.89596844394e-05,1.89212768419e-05,4.53215551759e-05,3.71337966574e-05,4.99709368515e-05,5.70800370194e-05,1.6153389879e-05,6.78363425041e-05,3.93225711724e-05,5.23099219815e-05,3.78365018766e-05
2006-12-01,4.27503286595e-05,5.14804724584e-05,7.90897132945e-05,5.71149923417e-05,9.75591011714e-05,7.44329017055e-05,4.09933567945e-05,4.12432201529e-05,8.38378158126e-05,7.59222719716e-05,5.83320161424e-05,5.15354666277e-05,5.87921190735e-05,5.73391111625e-05,7.28424515858e-05,4.75233632642e-05,3.94279725242e-05,7.60143649435e-05,5.25681554901e-05,5.62304183707e-05,3.36770955138e-05,4.55172185967e-05,5.23116541444e-05,4.42959646534e-05,4.29457404867e-05,4.57850675843e-05,7.25997430209e-05,5.94438119879e-05,4.89504837068e-05,4.41243059565e-05,5.78172088613e-05,6.85484559199e-05,2.77669262773e-05,6.06592763006e-05,5.52033876764e-05,5.26280280913e-05,4.09669482906e-05,2.36345900714e-05,4.37136782888e-05,5.27452260333e-05,5.00649472694e-05
2007-01-01,2.29873769946e-05,6.26087166027e-05,5.6165401886e-05,3.47431744255e-05,7.50700402326e-05,4.2919461183e-05,3.6669705878e-05,4.92339003131e-05,8.73768554205e-05,5.93786543959e-05,2.51029883253e-05,5.00204162173e-05,4.2376530759e-05,3.0333762227e-05,6.47795505626e-05,3.37756845359e-05,3.75292066413e-05,5.77279947417e-05,4.55010007536e-05,6.00049253181e-05,4.3757128597e-05,5.67969971902e-05,4.95335189044e-05,5.20088869962e-05,5.24588065283e-05,3.97343870873e-05,5.48273586295e-05,5.2206439268e-05,4.2396820182e-05,8.25662169518e-05,5.64499907579e-05,7.08557541657e-05,5.20910843231e-05,4.58710126168e-05,7.38672016225e-05,6.2097633986e-05,4.08136620536e-05,4.35104076197e-05,1.83839972903e-05,3.67827746231e-05,6.33395567515e-05
2007-02-01,5.5573697301e-05,4.80260895789e-05,4.93372325266e-05,3.60789708187e-05,4.98594064993e-05,3.15665633285e-05,3.66658255059e-05,2.76289463272e-05,8.30800853388e-05,4.85417080563e-05,2.09160477765e-05,6.16396627655e-05,2.3715991795e-05,5.24651191753e-05,5.26924969953e-05,1.7053130523e-05,3.37627584865e-05,6.39455787071e-05,7.22573602414e-05,4.13510503373e-05,2.06541059648e-05,4.13751218831e-05,4.67288336949e-05,5.54691446268e-05,3.51711694748e-05,1.57295404506e-05,2.86189471126e-05,5.25475808172e-05,6.6668119454e-05,7.29965596596e-05,4.63988941582e-05,5.16895845976e-05,4.6710694018e-05,5.37015935909e-05,4.98310034475e-05,4.65427602118e-05,5.42430352652e-05,4.78612989376e-05,1.76230081858e-05,4.08558190732e-05,4.15283969719e-05
2007-03-01,2.6417768649e-05,2.49562060725e-05,3.8463213059e-05,3.52651073626e-05,4.92571768215e-05,2.85298813001e-05,5.03075458775e-05,2.19047793877e-05,3.21014547202e-05,2.92147252912e-05,1.75017992274e-05,6.00057238314e-05,2.28249963844e-05,3.14040949943e-05,5.71812402216e-05,2.41311296577e-05,4.44100324633e-05,4.42081897442e-05,6.32015686609e-05,5.36615978793e-05,4.18966885826e-05,2.50098672849e-05,3.19502032653e-05,2.70422960057e-05,1.87380050323e-05,2.69723971655e-05,3.57428619964e-05,3.1945329838e-05,4.11964189198e-05,4.50362639337e-05,5.82425874373e-05,3.16668244523e-05,3.49054426546e-05,2.56147157719e-05,4.34239846722e-05,3.05893135343e-05,5.43309142813e-05,6.20016921641e-05,2.190328339e-05,4.438082251e-05,3.67961811483e-05
2007-04-01,5.04411252136e-05,1.84381089336e-05,4.95012953338e-05,2.56779218034e-05,3.10882878694e-05,2.73032421579e-05,2.74698308203e-05,3.00728624154e-05,3.64364784521e-05,2.48816734893e-05,3.75814148227e-05,3.74825920777e-05,2.79248403266e-05,2.80554138659e-05,5.60387545972e-05,1.90073997752e-05,3.82143113976e-05,5.86873090166e-05,2.43449778208e-05,3.28811184873e-05,3.77831623566e-05,3.81007073682e-05,3.30718939949e-05,1.22079754192e-05,3.54965762848e-05,2.30176165132e-05,2.08084558532e-05,2.36593531281e-05,3.90994576189e-05,4.21979088666e-05,3.32596825306e-05,1.70193590748e-05,2.01200615439e-05,3.4725969499e-05,2.35695764288e-05,1.64648823121e-05,4.57458409073e-05,3.4936993957e-05,1.98310527551e-05,3.74745874675e-05,2.67250521997e-05
2007-05-01,2.57507355227e-05,2.63592894607e-05,3.08513986706e-05,1.57009892064e-05,3.02880322124e-05,2.35186482314e-05,1.03619581621e-05,3.43860464227e-05,3.71186822425e-05,2.13731168606e-05,2.88136880504e-05,2.1632122142e-05,4.41241000382e-05,4.51015522699e-05,5.4036448481e-05,9.36022315727e-06,3.68290688281e-05,2.03478330756e-05,3.3854014763e-05,2.60707914398e-05,3.51193684873e-05,3.17437894005e-05,1.97846493393e-05,9.11692701493e-06,3.06110589268e-05,3.09902638946e-05,2.80633197084e-05,1.99188459737e-05,2.64197344109e-05,3.81424923035e-05,4.38913783087e-05,2.16745428588e-05,3.41157879986e-05,4.01906296853e-05,2.99814282265e-05,3.4511180426e-05,2.66022361757e-05,5.08321152968e-05,1.44718841758e-05,1.91123758971e-05,1.84102570823e-05
2007-06-01,2.37915502718e-05,2.41604869708e-05,3.11189468816e-05,2.83387455662e-05,2.12206094754e-05,1.56314727584e-05,6.31467971419e-06,4.38070325188e-05,4.9915664628e-05,1.38816007848e-05,3.70831620959e-05,1.68200099974e-05,8.50587285025e-06,1.65153962527e-05,5.00913086268e-05,1.24141268467e-05,4.59117522951e-05,1.80812488907e-05,1.29734342034e-05,1.24520734567e-05,2.31971550875e-05,2.63991348864e-05,1.47868904605e-05,7.21542260287e-06,2.7052223777e-05,2.25992849607e-05,3.68510398327e-05,3.02071640363e-05,4.00939462869e-05,4.01669270407e-05,2.62331099445e-05,1.22400929854e-05,3.95356268893e-05,3.91983812923e-05,1.28404859652e-05,3.10183902078e-05,2.76878563454e-06,4.83306814117e-05,5.25458127803e-06,1.96371674065e-05,2.61016044864e-05
2007-07-01,6.25259333798e-06,3.38979777767e-06,1.87154670194e-05,1.52342579516e-05,3.6113849031e-05,1.8485088367e-05,6.8899002924e-06,5.33819416262e-05,4.55795065742e-05,1.74486814899e-05,2.57955418989e-05,1.70664778644e-05,3.74394113578e-07,4.50969248502e-06,2.59447324424e-05,6.81954419939e-06,3.61093698492e-05,1.21223043076e-05,6.26043569983e-06,1.59633299487e-06,1.0552973514e-05,3.3725535521e-05,6.94707432558e-06,1.1930848279e-06,8.33006823931e-06,1.16817124862e-05,2.32655540534e-05,2.43975181456e-05,2.29574080114e-05,5.32436617505e-05,2.48825184017e-05,7.17026728978e-06,5.84184172545e-06,4.33412447289e-05,2.65349569872e-06,3.35944285628e-05,4.77919456898e-06,3.36161210617e-05,1.65773805896e-06,1.05090593166e-05,9.5331259021e-06
