model,FGOALS-g2,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,HadGEM2-AO,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,BNU-ESM,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,GFDL-ESM2G,EC-EARTH,EC-EARTH,GFDL-ESM2M,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,NorESM1-M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run1,run2,run3,run1,run1,run1,run2,run3,run4,run5,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run2,run3,run4,run5,run6,run1,run8,run12,run1,run1,run2,run3,run4,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run1,run1,run1,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,260.767202032,262.875198036,268.676052334,270.543202103,268.48529057,256.190613806,272.902784979,274.434441458,266.994392705,270.531440393,270.502396664,268.064494683,266.203231562,268.020743911,263.271299582,261.72444442,266.894535959,267.349269162,270.099407832,270.568522262,264.604649322,265.559561337,267.177719232,266.767420894,268.827893066,262.594157071,273.976725343,265.133875741,268.232273003,270.629277269,270.508955063,266.011525918,268.861890392,266.320759814,266.938054904,267.534190308,265.465659124,267.095031738,267.599474595,269.506210822,275.779592715,268.599236606,267.662032806,271.983528278,266.650895319,268.028924702,271.928827584,267.994787056,266.126162563,269.652748146,271.759145159,267.346297492,268.643557924,269.685901879,266.910544891,269.512243964,272.259269658,269.34667217,267.58152869,267.324852954,271.991656372,270.854305911,267.69961681,268.659874626,264.53398021,265.444971269
2006-02-01,263.106832307,271.121370327,272.254682238,272.516640898,273.214698581,261.949457727,272.594320797,270.932475278,276.223243055,272.423175233,266.37225998,269.057847596,269.856225197,269.004994857,270.710515181,267.5809653,269.399124917,268.214034555,269.255843529,268.535535842,268.324384237,268.406767076,265.695325712,269.654607648,276.480435517,272.14830367,272.058659976,268.451974801,274.50613339,265.664218438,271.03900916,267.198388769,272.673237943,264.234006515,264.8140934,264.078305396,271.581465365,268.089538574,275.448675764,271.968256711,278.143406413,268.521600466,271.129815944,270.651264576,272.627729462,267.180862263,274.098701584,265.542855872,272.070050381,271.612859934,268.576717614,272.01636704,267.200492084,268.599326742,267.063446073,270.247249713,271.778755338,268.603730348,271.939864605,272.429399075,274.971343832,271.673475266,268.234399998,271.231015815,273.155609823,269.6204012
2006-03-01,266.974776183,278.348801846,280.101703989,279.909088458,278.914554118,271.885917513,274.481571152,279.271583928,278.351073166,273.432952955,275.912540832,270.638744175,275.752082738,275.405181033,274.994966215,275.427192297,277.129054585,274.031801266,275.460297271,276.056247462,270.059974508,276.38170552,272.827481387,274.193281902,278.365428551,277.702865786,278.944423445,276.884412759,277.98652593,273.395610464,272.803265387,273.593955485,273.88072929,274.601614049,276.484357074,273.18525806,277.245603903,279.132781982,279.040033279,277.612607439,279.788744542,274.630459876,278.918563556,271.173082487,276.663592872,274.201733248,274.304225806,274.875890421,278.085252348,275.430207999,273.566424215,274.809216915,271.287015049,275.742170878,275.142820212,272.893773635,276.177688807,276.65065769,272.672743078,279.892040306,277.375248679,275.811103769,273.425322594,274.499520788,279.256238075,274.075084763
2006-04-01,276.39047093,283.246305282,280.84186165,282.1230272,286.263487523,282.295971993,285.4845131,284.595168935,286.726393607,282.922473714,284.934647497,277.856835352,281.036098804,280.994989621,281.010377773,280.427633917,283.894528259,279.708261085,283.083817597,281.955979116,280.427099556,279.544354936,281.795946228,283.291379346,284.06194443,285.235770302,285.198356503,284.43145681,282.792967661,280.573756159,278.953173715,280.623447924,280.072271292,282.621089648,283.544724832,285.843805036,283.918723999,282.283630371,285.097127402,286.357156987,285.165141264,282.751868162,283.972463231,280.119559132,280.933529829,282.367926691,280.460142384,282.908068942,283.544886835,282.949044799,279.925360513,283.115699129,284.219979925,280.492036583,280.172500877,282.321992212,284.045843818,281.618866313,278.657921578,282.59358632,283.078785161,283.061116492,280.973165952,282.935032801,281.159688671,283.143756153
2006-05-01,282.08827504,287.945242062,289.596658,287.113506224,289.514433636,288.819076084,289.694117043,288.126918783,290.018242498,291.562205335,291.995473932,284.931941914,287.738926799,288.979469433,287.2584182,287.150132914,288.675632126,285.792408642,287.097237163,288.93332152,287.911669563,286.704498498,289.416829929,288.645142359,287.868791494,289.853536106,287.891636458,288.696011593,289.742271243,288.762078599,285.322050335,286.076501422,287.128794926,289.030432464,290.958375588,289.822544557,289.37287133,289.238983154,290.013689612,291.679286935,292.023454744,288.096111423,288.318051609,286.80392452,285.180910997,286.29018253,284.76617535,285.891567428,288.504539619,289.425382109,285.668399897,288.249302084,291.601353997,289.282936399,291.121451637,291.162679468,289.93972856,287.364709078,288.32325992,286.291177073,288.611207313,287.546433105,284.998215245,288.080187254,288.627025844,288.185932742
2006-06-01,290.380814063,293.295961268,292.522838399,291.678270156,295.627760734,295.157041381,298.709596036,293.722812672,297.020262379,297.508023396,297.443554146,292.298384004,294.221039421,295.144628791,296.096967313,294.843011875,298.320389913,294.434273508,295.406452906,296.601506539,294.578800238,298.283666096,292.629129387,293.453886043,296.954640294,293.915478622,293.789537678,293.689190636,293.077081941,291.188752817,290.955754183,293.384102539,292.682784756,297.403927314,295.938581056,298.641745494,295.124546773,293.205200195,296.024208211,296.598475583,296.463169211,293.780084617,292.169651326,290.723896485,291.973231487,292.50127402,290.432293598,291.592412588,291.677733581,294.092189827,291.222264612,292.965347128,296.742877552,297.1090988,296.796658193,298.008140003,296.43310671,291.212626113,295.375098935,292.670202975,292.481108884,292.072645039,294.451606574,293.263977555,293.59112055,292.813146079
2006-07-01,292.769465588,295.059579321,295.317563064,295.873897694,297.714905941,299.714290276,302.91381992,301.271889072,302.404056928,301.740473049,301.78580782,293.62094553,300.801946191,301.65853727,297.888712734,301.462198202,304.024685577,301.170713803,301.896083531,302.624576884,301.325015447,304.335919209,297.0357167,297.070184762,301.156311672,299.489641704,298.960923206,297.602825191,298.710987178,294.969027862,293.698223395,293.755378627,297.554554942,301.010800371,298.484597159,302.04101485,299.42227613,296.813659668,297.722698483,299.068498166,297.970613332,297.78297553,295.745269839,294.683911058,295.022391775,294.891452854,294.138263433,297.302726619,293.156393497,296.584263207,296.226392618,295.706950485,299.191850956,299.293790053,299.711612745,299.589793944,298.87648972,293.732765018,300.49019214,293.99773383,296.028246503,295.221801391,295.393631578,295.741455189,295.217497042,295.273739768
2006-08-01,292.844108362,293.575357521,294.895991211,295.216576218,295.78731087,299.131586399,302.757709912,300.731026507,302.996029729,300.239562659,302.51696237,293.405389982,298.830196254,302.291062897,299.043738034,301.374759315,301.179220274,300.821933039,299.091860593,300.395420712,299.987316939,302.257593483,295.094671806,296.639710479,298.75611989,298.764949144,298.730784392,298.712596752,298.058759722,293.348123865,293.621114557,292.650108867,295.679280873,300.303032225,298.867006628,300.451404285,299.2442205,295.484802246,298.16321584,297.938707729,298.192882166,297.189087006,296.023001599,296.666305482,294.865756472,295.958237529,293.015818755,297.688282331,293.259146246,295.726387826,292.71895079,294.439617893,298.293739699,297.634820318,297.26195048,297.614604257,297.385898219,292.878643148,301.315026535,294.044596797,296.192505506,295.152869957,296.820077941,294.85497866,294.493722467,294.430066385
