model,MIROC4h,MIROC4h,MIROC4h,ACCESS1-0,ACCESS1-3,IPSL-CM5B-LR,GFDL-ESM2M,FIO-ESM,FIO-ESM,FIO-ESM,CMCC-CMS,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,HadCM3,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,CMCC-CM,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,MPI-ESM-MR,MPI-ESM-MR,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,GISS-E2-R-CC,BNU-ESM,FGOALS-g2,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-CM2p1,GFDL-ESM2G,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CanCM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,GISS-E2-H,GISS-E2-H,GISS-E2-H,GISS-E2-H,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,HadGEM2-AO,GISS-E2-R,GISS-E2-R,GISS-E2-R,GISS-E2-R,GISS-E2-R,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
2067-03-01,,,,287.898514861,288.166297487,287.064378329,288.024007777,286.950362406,287.32010836,287.531035879,288.907389775,,,,,,,,,,,288.667051069,288.089028449,288.495045047,288.619160052,,,287.932455279,288.13489447,288.400750933,288.407389475,288.149523455,288.805574947,288.328881574,288.429500069,286.742074009,287.381294228,287.279045546,287.109602483,287.024014331,287.283720172,287.236458931,287.278312505,287.374154566,287.901613343,286.750438033,288.64054747,288.905575624,288.712216247,288.655263866,288.679568901,288.167038894,288.140741367,286.348323601,,,,,,,,,,,287.088479727,287.59706399,287.334815738,287.396534037,287.285048815,287.450003939,287.233796771,287.129565924,287.453441913,287.454519944,287.337831952,287.470764204,,,,,,,,,,,287.881373214,288.040701938,288.070640126,288.026856046,287.956161375,288.155691317,287.210754395,288.345554994,288.000124039,288.035805479,287.63446776,287.105311182,286.929347506,287.253480945,287.142908793,288.367294391,287.579059682,289.494526461,289.552746114,289.342094089,289.41864212,289.456825559,288.041949364,288.612920762,288.480907776,288.469806148,288.321762234,288.286857326,288.312570277,288.600058371,288.530061996,287.704807944,286.634603486,288.558204894,288.31111026,288.357221169,288.528423614,288.246563119,288.195717107,288.364476115,287.81252543,289.099081857,289.180447697,287.896471837,288.150081475,288.217634083,288.539041087,287.912972852,287.496967972,287.765890532
2067-04-01,,,,288.805220597,288.847562909,288.35729789,288.789544227,287.91133281,288.453876833,288.232776954,289.822406054,,,,,,,,,,,289.481066621,289.106420644,289.216242051,289.503552382,,,289.06933707,289.185503354,289.309860578,289.344153103,289.358839686,289.603562423,289.192952664,289.477242826,287.921599636,288.435047134,288.422697364,288.231353642,288.056754428,288.195027133,288.280871779,288.411816695,288.447074611,289.043930466,287.899467298,289.408141476,289.694175115,289.639128126,289.555490257,289.576664169,289.117941823,288.818045879,287.096342304,,,,,,,,,,,288.104303093,288.219181962,288.097007224,288.016650304,288.256805613,288.209580322,287.966463626,287.963507062,288.314116786,288.097854159,288.071747693,288.201351277,,,,,,,,,,,288.84133345,288.84960278,288.979449787,288.735858093,288.969033499,289.010421362,288.227539062,288.964718522,288.892800465,289.150650427,288.749427925,287.901719095,287.955185272,288.155338351,288.03582438,289.048616322,288.278956196,290.285483401,290.198103869,290.176094223,290.12336551,290.147039871,288.848727037,289.267874448,289.246694994,289.211196897,289.194405374,289.109634642,289.043216993,289.291743316,289.34434639,288.309707508,287.789194337,289.503048438,289.145711418,289.230577848,289.237677607,289.279590965,289.1936,289.223070981,288.703972004,289.954379855,289.890063274,288.975670659,289.187847777,289.074342816,289.402659585,288.898591543,288.588414912,288.654830047
2067-05-01,,,,289.928971611,289.896868515,289.311900282,289.531980591,289.051129371,289.349242899,289.292408147,290.733954058,,,,,,,,,,,290.324048361,290.221898369,290.327694663,290.612703729,,,290.076123181,290.339796708,290.420619569,290.406729391,290.35996254,290.32298278,290.157785451,290.168410154,289.067495709,289.447363335,289.330179598,289.365132805,289.23269617,289.270206091,289.315443663,289.526148878,289.421231762,289.901095931,289.016859045,290.353541134,290.600663034,290.59742296,290.497693321,290.491946781,289.943951723,289.726942207,287.992417164,,,,,,,,,,,288.954846616,288.799093208,288.869338604,288.995780712,288.910149445,288.96644121,288.741042519,288.716547369,288.827077948,288.825815437,288.816448033,289.018043183,,,,,,,,,,,289.652114211,289.504698024,289.737774844,289.71024096,289.757215929,289.676870568,289.192596436,290.053072555,289.816721007,290.005406868,289.622747877,288.851706645,288.73398627,289.003062858,288.880699691,290.008161209,289.140267326,291.041008505,290.86371508,290.941627572,290.755262418,290.909839473,289.89092553,290.219717623,290.09885669,290.244724983,290.1525642,289.996320271,290.009174671,290.203517885,290.333053171,289.114024045,288.610750996,290.608248483,289.929865616,290.137129811,289.984601135,290.018131481,290.097459388,290.068136848,289.830031806,290.579356861,290.897604139,289.701301387,290.124365297,289.930341581,290.192675047,289.669902173,289.529196724,289.617003964
2067-06-01,,,,290.746566975,290.628606989,290.170835711,290.257085851,289.807313724,290.064001592,290.07784708,291.31021014,,,,,,,,,,,291.04926336,291.189261751,291.458793288,291.510555778,,,290.617967984,291.008689061,291.140023092,290.994348739,291.01391752,290.850625373,290.716904824,290.757760639,289.780691163,290.037405278,290.12879673,289.951147749,289.985272029,289.955366503,290.125619415,289.89155429,290.116617374,290.615045877,289.660616864,291.290633551,291.369520727,291.474211168,291.347868031,291.394531663,290.586049353,290.526365834,288.822950825,,,,,,,,,,,289.543154799,289.549035146,289.581316546,289.564201441,289.529191368,289.568279074,289.362316805,289.382734827,289.449803805,289.429664927,289.503807514,289.802350713,,,,,,,,,,,290.286918052,290.373582747,290.434293095,290.461997414,290.386464209,290.502568053,289.706604004,290.820596922,290.736906771,290.930561035,290.403626326,289.767950869,289.628655785,289.8095541,289.704169992,290.890491809,290.106935237,291.52492428,291.458198727,291.362780929,291.431620736,291.412913708,290.743902179,291.011873073,290.853562414,290.994425896,290.983628273,290.784090428,290.813730631,290.925328578,291.026108993,289.753489483,289.360406559,291.367673861,290.573832905,290.682828242,290.604194923,290.632560885,290.547137654,290.638864838,290.577645775,291.077390889,291.404466003,290.22359744,290.704216549,290.471055637,290.678142279,290.383491181,290.221203503,290.281374896
2067-07-01,,,,290.992040667,290.932871629,290.46581766,290.582421029,290.10888019,290.157210437,290.477419016,291.386019005,,,,,,,,,,,291.336912411,291.566273888,291.883244744,291.992250263,,,290.836455878,291.283528792,291.34115337,291.263667725,291.300632428,291.104964917,290.960329597,291.028665056,290.000240444,290.336618587,290.233797263,290.116038432,290.194563088,290.233301814,290.316644962,290.16546797,290.41542392,290.979765184,289.79395712,291.588541578,291.728154077,291.820191952,291.870351288,291.725539707,290.863140586,291.02826588,289.250683351,,,,,,,,,,,289.791174216,289.936069283,289.863342397,289.924520813,289.69570553,289.932353138,289.718776172,289.719068372,289.817746854,289.706785145,289.823732315,290.039798238,,,,,,,,,,,290.939332393,290.744753001,290.811362514,290.764276155,290.861434759,290.894932132,290.08291626,291.123849548,290.92711359,291.089307078,290.892121417,290.123493189,290.130881587,290.283741389,290.191807606,291.367179313,290.723234303,291.752362413,291.732638794,291.585510094,291.649514651,291.627968091,291.014538084,291.208000668,291.190993651,291.339052186,291.315221198,291.179342451,291.150333469,291.264338808,291.374867075,290.17630064,289.757041395,291.664520998,290.838946766,290.968534266,291.082962382,290.938837857,290.944461664,290.973285566,290.844348227,291.160811209,291.755532257,290.490968416,290.909072397,290.813016519,290.98048255,290.759311721,290.727054792,290.639847862
2067-08-01,,,,290.77248284,290.803172781,290.573946762,290.220247251,289.855661969,289.910560152,290.099369032,291.052350156,,,,,,,,,,,291.105098631,291.395000232,291.801340479,291.537346275,,,290.542647313,291.055286381,291.058782482,291.081742259,291.218664333,290.86994156,290.69126857,290.883245125,289.770278396,290.211103311,290.023863171,289.923448116,290.037741092,289.911641626,289.966055641,289.91271581,290.126459457,290.783014755,289.361657892,291.381398856,291.630149123,291.683285701,291.558599128,291.455014203,290.807145617,291.015416138,288.944998967,,,,,,,,,,,289.747225181,289.675747113,289.737056117,289.693035256,289.571483078,289.777030248,289.436373349,289.450912619,289.546600305,289.580078141,289.507190069,289.882049681,,,,,,,,,,,290.651663338,290.547400161,290.624475115,290.543161114,290.585866533,290.658220063,289.767272949,290.839581525,290.775840107,290.93812375,291.04655007,290.175139154,290.118534564,290.274828501,290.068635337,291.244964797,290.720648095,291.629020643,291.452690341,291.377919785,291.444088266,291.403589101,290.859613462,290.996006434,290.82031161,291.029867144,290.999022981,290.941304722,290.899689321,291.014343014,291.103721532,289.87087026,289.512256882,291.47921937,290.867101326,290.874930887,290.922364119,291.026614182,290.805214038,290.846587841,290.699264236,291.060809385,291.421148893,290.336310029,290.676700938,290.725476745,290.757264315,290.49776604,290.533638917,290.395502957
2067-09-01,,,,290.118691672,290.172425615,289.762965879,289.378005978,289.335339152,289.267663358,289.316516152,290.322262238,,,,,,,,,,,290.271298129,290.670324782,291.068926268,290.829276763,,,289.839565202,290.413945577,290.384146082,290.462680295,290.427912485,290.106812061,290.172301434,290.180690909,288.945107881,289.394988399,289.214822606,289.138254362,289.248498889,289.225119082,289.198934118,289.146503875,289.364721684,290.034168015,288.619610894,290.568987316,290.693046844,290.72451652,290.725766136,290.613267915,290.13500203,290.107238669,288.205764298,,,,,,,,,,,288.937508692,288.929411753,288.909247606,288.849002399,289.002421428,289.223063494,288.875493123,288.719489795,288.864821046,288.940137566,288.907024009,289.195216537,,,,,,,,,,,289.812573929,289.962908581,289.910434951,289.836669015,290.007120635,289.824918648,289.215942383,290.160286051,290.0362634,290.177177488,290.20175704,289.409230993,289.435329684,289.495722623,289.299227599,290.728756921,289.735214652,290.890084911,290.975605987,290.746261383,290.819211519,290.804797386,290.041507916,290.233518267,289.99901532,290.228161763,290.273633391,290.148629958,290.187138513,290.281067366,290.331735702,289.362617835,289.052215724,290.814049752,290.230872695,290.333613695,290.352217766,290.459842765,290.249549623,290.280608807,289.921348691,290.54089373,290.800061134,289.749544833,289.965081996,290.176958846,289.992958719,289.884451434,289.691254606,289.860148827
2067-10-01,,,,289.318585857,289.2898351,288.397082174,288.390315598,288.438154266,288.347465391,288.448717744,289.353354521,,,,,,,,,,,289.545301331,289.531679384,289.969779655,289.684498778,,,288.703377602,289.441053067,289.460038912,289.532370832,289.607593566,289.138504391,289.349427071,289.372374449,287.902631864,288.431436198,288.27421798,288.198504074,288.279464018,288.200509619,288.232751642,288.244683907,288.377669069,289.048015267,287.789613743,289.494666091,289.602089468,289.632546076,289.65279936,289.651959185,289.258473221,289.153060155,287.287827372,,,,,,,,,,,287.983372018,288.075398521,287.93488726,288.218793424,288.036758854,288.181608305,288.015187068,287.915741763,288.063739477,288.123879265,288.024670928,288.407370452,,,,,,,,,,,289.002481276,288.965336194,288.766381894,288.875575746,289.014056571,289.005305178,288.341369629,288.981014272,288.901054065,288.939911327,289.02635468,288.16143407,288.283844304,288.278866063,288.065561399,289.730079055,288.67770081,289.962536434,290.136695207,289.798519888,289.901313966,290.005182066,289.092969403,289.455895393,289.147002567,289.285434537,289.364350255,289.288931867,289.34353176,289.305896423,289.301865598,288.073563013,287.937447742,289.816583909,289.303803845,289.438591246,289.398347364,289.497457792,289.33942793,289.326716701,289.013947519,289.61227376,289.992442935,288.768857106,288.944467273,289.222633297,289.229891804,288.89166374,288.792208462,288.82347642
2067-11-01,,,,288.450225942,288.506228749,286.868281262,287.468006693,287.571668868,287.333208759,287.767089525,288.458171969,,,,,,,,,,,288.860367795,288.513212197,289.07973265,288.516221211,,,287.743416801,288.320849021,288.368699129,288.477529564,288.537223822,288.237925923,288.41231394,288.38501932,287.074983829,287.323528319,287.250318704,287.208322467,287.25818016,287.279203287,287.320224031,287.42151591,287.365259777,288.216127906,287.201116416,288.572004102,288.782116805,288.772771281,288.858881151,288.921658066,288.137108303,288.372171303,286.293797377,,,,,,,,,,,286.835543436,287.169142169,287.11948388,287.342636852,287.111152645,287.313551112,287.052552807,287.048116032,287.001520508,287.243403351,287.175716141,287.475225967,,,,,,,,,,,287.923476446,288.139078308,287.886686748,288.090562156,288.067020047,288.083172737,287.158294678,288.070072499,287.757529212,288.105476825,287.931201463,287.147601154,287.181266907,287.030792093,286.962600797,288.699619925,287.629045705,289.209019204,289.234313111,289.13189249,289.035614976,289.038287732,288.426525227,288.611806839,288.429983006,288.541799791,288.764611154,288.538502012,288.578437813,288.624391511,288.571241747,286.841364529,286.896358948,288.849184655,288.31543976,288.291154339,288.309126693,288.422444931,288.108596131,288.254128314,288.090230157,288.742292743,289.306673172,287.611479554,288.092675587,288.230003472,288.358992548,287.853788287,287.460542563,287.819554569
2067-12-01,,,,287.659558656,287.771364241,285.93028435,287.095678847,287.090950336,286.649561038,287.029403473,287.764243304,,,,,,,,,,,288.347578337,287.745992811,288.421244086,287.761516691,,,287.095705302,287.711624571,287.632263406,287.556606326,287.864932667,287.527131341,287.355058642,287.540487268,286.179633435,286.667557632,286.70825933,286.377457072,286.521055246,286.467680329,286.596474471,286.479497903,286.6439828,287.687033177,286.466245089,288.124901872,288.02369182,288.339467193,288.09589486,288.336227912,287.481226241,288.071568637,285.47457506,,,,,,,,,,,286.422688432,286.65904907,286.362355276,286.654281948,286.444360763,286.688614515,286.502527264,286.357526237,286.401089682,286.655624291,286.434354556,286.84212825,,,,,,,,,,,287.266547275,287.55416326,287.523990275,287.453109501,287.582521874,287.402813328,286.426757812,287.364958192,287.051399137,287.338421345,287.231223893,286.320950618,286.287895179,286.425460539,286.303031174,288.168767997,286.891954115,288.636601095,288.704967817,288.511074617,288.475248931,288.560835663,288.060865822,288.294191724,288.114932905,288.055519621,288.283026195,287.993375,288.060795909,288.113226914,288.225682051,286.405800864,286.029039437,287.989833787,287.592909097,287.581155624,287.636529034,287.579364847,287.581519429,287.561242599,287.20003927,288.323950649,288.858296639,287.14532703,287.542091344,287.599754556,287.707708602,286.902101618,286.784553542,287.089004495
2068-01-01,,,,287.232565888,287.663257203,285.688323948,287.085541516,286.540886716,286.404300574,286.522756879,287.344715079,,,,,,,,,,,287.999115217,287.358203699,288.048800461,287.487126814,,,286.698396221,287.413027579,287.312942645,287.333796848,287.366296138,287.288464561,287.226559161,287.323150033,285.916540061,286.360691982,286.356752435,286.068587478,286.185569315,286.498634093,286.122433269,286.426790996,286.316029818,287.411761205,285.982006557,287.839568408,287.665660026,288.024181417,287.776767114,287.869185026,287.241548107,287.816717668,285.49410369,,,,,,,,,,,286.192827771,286.369994395,286.462343072,286.56463155,286.370695686,286.714389566,286.41814045,286.079597296,286.079269308,286.555251701,286.488233666,286.717009789,,,,,,,,,,,287.204903441,287.441990256,287.318053382,287.176947786,287.377979692,287.354710945,286.194213867,287.121177782,286.985822447,287.225687581,287.382718825,286.349918461,286.27363389,286.030444746,286.045268066,287.81422333,286.808921949,288.645114701,288.532349272,288.433247744,288.522350086,288.597321206,287.722282751,287.976138722,287.987070565,287.905358999,287.826955172,287.904423535,287.830580726,287.997675938,288.167550137,286.524226219,286.132126167,287.779905687,287.463405158,287.48138224,287.353715419,287.402465391,287.367005688,287.31947913,287.002449194,288.323908731,288.440884267,286.795918439,287.283608088,287.252324404,287.670789315,286.855750022,286.658369723,286.901066736
2068-02-01,,,,287.584773963,287.801373968,286.335632568,287.374682738,287.043494664,286.367242083,286.638400558,287.718296465,,,,,,,,,,,288.168005277,287.416888738,288.044536868,287.456026987,,,286.926196722,287.542426085,287.390082402,287.682787332,287.512290621,287.55719247,287.785687612,287.892473201,286.330968724,286.454112152,286.371331604,286.441479903,286.462345759,286.626340692,286.248693909,286.632371562,286.490777817,287.590849879,286.039067394,287.810940013,287.696106746,288.174334752,288.001763038,288.159546821,287.703013693,287.670593088,285.675306908,,,,,,,,,,,286.227905265,286.78925267,286.895653081,286.836211452,286.827399569,286.995600135,286.843480323,286.552705299,286.61916053,286.685400346,286.66712259,287.073569841,,,,,,,,,,,287.57470518,287.579550614,287.252787114,287.466399169,287.571295905,287.430559168,286.365844727,287.47861835,287.193631316,287.221241352,287.65574407,286.609490136,286.572300143,286.599593436,286.414164852,287.972340541,286.884250403,289.059886152,288.99333337,288.878206795,288.900174441,288.812111147,287.753329874,288.058043008,287.830396468,287.911123701,288.061517924,288.177505964,288.100858841,287.957821296,288.166603761,287.084710376,286.323187277,287.982220836,287.7163653,287.696372902,287.712515202,287.82667377,287.804282632,287.54498017,287.025191236,288.760019459,288.742270131,286.937043109,287.634807645,287.686801092,287.826712896,287.427908697,287.155231054,287.241714891
2068-03-01,,,,288.232588978,288.323371007,287.165704667,287.762965217,287.494303733,287.190579697,287.196908819,288.473140207,,,,,,,,,,,288.688523474,287.713234535,288.475201046,288.01987978,,,288.027580549,288.257985891,288.230341007,288.390767921,288.340019421,288.304712447,288.495473085,288.571369963,286.990531432,287.387133994,287.046061893,287.088183464,287.223571853,287.395923662,287.224315107,287.279063658,287.318152881,288.177652289,286.826250591,288.411904592,288.351934562,288.796821424,288.640876454,288.908425493,288.346700782,288.166292791,285.965908857,,,,,,,,,,,287.008922309,287.453874441,287.318186166,287.450173007,287.376040957,287.817368333,287.33231253,287.139951482,287.161444987,287.324027884,287.166691254,287.531830671,,,,,,,,,,,287.899278918,288.016093454,287.872862267,288.19251538,288.332259199,288.028320671,287.174133301,288.206302233,288.03019519,287.955828661,288.206323329,287.118358391,287.022913778,287.147442138,287.240634172,288.65423952,287.322856888,289.665626324,289.60763405,289.571057109,289.333887578,289.429869786,288.253911712,288.446442751,288.440239415,288.49014822,288.606428943,288.64766388,288.555562077,288.351314368,288.550066555,287.628727341,286.835368495,288.736387319,288.347805507,288.311266992,288.594998906,288.450471501,288.278247887,288.205429021,287.738580368,289.198007941,289.258731883,287.903826308,288.224550058,288.476698493,288.327796716,288.051339297,287.716050581,287.974620332
2068-04-01,,,,289.139070492,289.140270232,288.144369975,288.460366254,288.3756339,288.310057361,288.277309898,289.392300469,,,,,,,,,,,289.513247336,288.875189697,289.434253261,288.972627464,,,289.039802322,289.323404109,289.189110069,289.25780879,289.333379499,289.188300136,289.464432134,289.591006735,288.136310418,288.401668807,288.397455765,288.10868961,288.397433096,288.244633547,288.262048698,288.530138293,288.249509276,288.972481299,287.854819739,289.423309317,289.621222577,289.619540212,289.578237685,289.653920623,289.172047347,288.820550009,286.822213888,,,,,,,,,,,287.823379228,288.226465044,288.167261976,288.283649798,288.176163072,288.622277826,288.092917597,287.899415906,287.999088208,288.015411913,287.799295076,288.293178001,,,,,,,,,,,288.768689614,288.996607814,288.755591479,288.844307217,288.941564475,288.912897128,288.266479492,289.115271818,288.895033744,289.098296857,288.963987229,288.055617551,287.958487279,288.037495211,288.154884428,289.519411684,288.112470708,290.290830386,290.327787423,290.404077428,290.101048118,290.214959316,289.16352181,289.254384033,289.082956808,289.169783874,289.353339881,289.265152145,289.336212979,289.163997042,289.244773036,288.429179145,287.753545585,289.785183772,289.214981113,289.401500364,289.552522,289.330390535,289.300284669,289.197366434,288.774644331,289.902028985,290.026397939,288.893107863,289.168440988,289.304153899,289.384224136,288.999684384,288.604563297,288.896406513
2068-05-01,,,,290.114132697,290.159609215,289.317514668,289.554347396,289.251483658,289.12912744,289.253827512,290.178424365,,,,,,,,,,,290.34738898,290.242818924,290.851012985,290.26410463,,,290.04384634,290.207887823,290.314284716,290.274921864,290.363674348,289.901352538,290.177054515,290.288629577,289.420604037,289.538502832,289.375891675,289.292130736,289.558581198,289.374010527,289.39920765,289.676123918,289.329966634,289.842465068,288.930589698,290.228655161,290.543588049,290.538395371,290.471510236,290.550880693,290.164313934,289.785169549,287.880457408,,,,,,,,,,,288.962265791,288.94967899,288.922836629,288.896079016,288.78771065,289.400783187,288.820412091,288.668950539,288.92389089,288.883667399,288.606157857,289.015356274,,,,,,,,,,,289.712043638,289.859139477,289.567056899,289.683441177,289.729503572,289.805492161,288.948883057,289.966182951,289.847103722,289.992096067,289.784604708,288.830323547,288.941266371,288.89567443,289.054362025,290.101383044,288.936693299,291.001626745,290.864132363,290.984843631,290.902512782,290.863814544,290.018516317,290.334940328,290.145346161,290.209336002,290.188954339,290.111821006,290.308667277,290.090311082,290.215350013,289.213175866,288.702695066,290.788907903,289.947088297,290.210058588,290.182418062,290.210339805,290.078198303,290.085374974,289.91541929,290.600257143,290.956345066,289.801913752,289.930171005,290.100127292,290.127701485,289.791704787,289.676070553,289.724121312
2068-06-01,,,,290.789434464,290.755442372,290.072591194,290.150851995,289.92937508,289.885428507,290.010866983,290.731282805,,,,,,,,,,,291.035835354,291.201981241,291.777449588,291.138280565,,,290.640472721,290.964857483,291.008759326,290.885803761,291.125612686,290.440737384,290.649395971,290.951045487,289.997011999,290.169704997,290.094768741,290.073801362,290.202852116,290.119158271,289.968813608,290.174804276,290.096918559,290.484487658,289.649614327,291.232394754,291.417634994,291.413776255,291.337465047,291.449359211,290.587197424,290.541095874,288.716811951,,,,,,,,,,,289.59592654,289.52077383,289.512087383,289.524002089,289.694705731,289.957178125,289.507393498,289.310838695,289.392919711,289.504315052,289.402952164,289.548794786,,,,,,,,,,,290.353922447,290.479314246,290.37222319,290.543251586,290.560250447,290.39947724,289.635894775,290.78387817,290.598811209,290.793194904,290.499830789,289.732537792,289.689025026,289.788128939,289.948705651,290.825049806,289.848459652,291.501778317,291.457586132,291.53110194,291.475610419,291.381335783,290.692138931,291.025511322,290.806030211,290.967996218,290.868672205,290.822968956,290.962185387,290.881703959,290.91070924,290.000846066,289.329945315,291.556827421,290.564906353,290.710660254,290.718044719,290.651214599,290.531205511,290.679132046,290.62712202,291.105877047,291.53514896,290.42337873,290.522034312,290.741053239,290.777852579,290.520497644,290.453872152,290.471298806
2068-07-01,,,,291.024044536,290.992842951,290.625748987,290.317661643,290.25038084,290.106015569,290.218639951,290.799675883,,,,,,,,,,,291.306516425,291.749790933,292.10958442,291.610512714,,,290.904982613,291.149509974,291.327642444,291.172986343,291.399117316,290.696160999,291.041406973,291.087003736,290.181634233,290.39180821,290.248523189,290.265434443,290.242159524,290.406475096,290.221716004,290.323908089,290.266401222,290.849540864,289.834098594,291.767254147,291.782192912,291.679586647,291.836009642,291.894279104,290.85876754,291.038113412,289.095607001,,,,,,,,,,,289.81318466,289.755304794,289.937942704,289.711584427,289.98879181,290.322696344,289.762853039,289.699444219,289.649364091,289.751064967,289.668671335,289.877411054,,,,,,,,,,,290.830848009,290.983407633,290.846993861,290.8675695,290.868539612,290.850520354,290.069091797,291.002131858,291.081977658,291.056126987,290.926872659,290.308061981,290.198314422,290.219841352,290.508619784,291.343292211,290.490241772,291.694861665,291.763671134,291.745334266,291.628973825,291.67719211,291.085957124,291.287733635,291.150844642,291.37336841,291.256521997,291.148763501,291.246748329,291.261186838,291.129413932,290.309864282,289.727339254,291.682901086,290.797787068,290.918591826,290.99824093,290.876573829,290.908499474,290.980990648,290.76504633,291.183596697,291.640213497,290.479819967,290.674876431,290.968611029,290.962320783,290.835276143,290.750989557,290.758891962
2068-08-01,,,,290.845925405,290.888618631,290.526710038,290.090129948,290.008195597,289.843105298,289.940629649,290.781507322,,,,,,,,,,,291.037485693,291.606802458,291.767725077,291.413219262,,,290.568967475,290.965658035,291.118737114,291.079103372,291.110908602,290.347408225,290.759072248,290.859241247,290.035976882,290.036601182,289.965570571,289.979860785,289.945138402,290.126186061,289.910835511,290.120036905,289.87485475,290.687295874,289.412744702,291.536268891,291.619102512,291.428650812,291.697029796,291.691257147,290.677896868,290.921283296,288.944424342,,,,,,,,,,,289.578909198,289.608041157,289.72152551,289.473682412,289.64045882,290.028983753,289.479579382,289.286272214,289.471776329,289.571394366,289.465605519,289.695413393,,,,,,,,,,,290.66864926,290.627256555,290.667710149,290.638585201,290.603794651,290.454443548,289.914733887,290.842681517,290.838380464,290.90538442,290.990400216,290.179004102,290.260251739,290.299173441,290.526616482,291.24014771,290.534817605,291.589184454,291.548427515,291.597940013,291.453971561,291.460807944,290.749653625,291.00564278,290.984466363,291.134496916,290.917184516,290.955228812,290.907524659,291.017699597,291.098770047,289.966294114,289.627921102,291.721429301,290.816146326,290.776197471,290.88711696,290.830515338,290.818585445,290.850896369,290.621183009,290.980688656,291.39237734,290.466275325,290.451268694,290.780298474,290.733694473,290.503467354,290.577790817,290.525032987
2068-09-01,,,,290.125343662,290.183471848,289.675827902,289.370899546,289.420207626,289.25212408,289.254952651,290.100469516,,,,,,,,,,,290.408586984,290.836338629,291.064195751,290.694999589,,,289.830506407,290.475933982,290.558657721,290.30470735,290.354729986,289.780170709,290.214585666,290.206258752,289.217762236,289.486920583,289.328341383,289.116884368,289.106858255,289.316508543,289.157365801,289.245875389,289.209614687,289.975170105,288.75922204,290.65333081,290.745702299,290.640559808,290.707132359,290.789319555,290.072074631,289.865955919,288.241493255,,,,,,,,,,,288.941132169,288.966059606,288.935611369,289.023932472,288.881160631,289.25966775,288.943965219,288.661120733,288.863186431,288.742743081,288.851052947,288.914701844,,,,,,,,,,,289.759993211,289.834882567,289.983643381,289.869066851,289.947443315,289.803881802,289.277679443,290.155099392,290.050639406,290.080100814,290.147937703,289.366132813,289.474964271,289.562597692,289.758438897,290.472138907,289.683002623,290.9710084,291.006479617,291.078823151,290.911661844,290.774565152,290.141759566,290.222400838,290.157346547,290.420205102,290.148385333,290.052316602,290.269529764,290.27180851,290.437221061,289.293642072,288.988077335,290.878863685,290.230054629,290.174391165,290.377010126,290.351102825,290.255579987,290.359294073,289.946403693,290.371265084,290.530454094,289.881392318,289.783647814,290.228895397,290.068615138,289.808162873,289.887567027,289.89228024
