model,ACCESS1-0,ACCESS1-3,FGOALS-g2,FIO-ESM,FIO-ESM,FIO-ESM,CMCC-CMS,IPSL-CM5B-LR,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,CMCC-CM,FGOALS-s2,FGOALS-s2,MRI-ESM1,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,GISS-E2-R-CC,BNU-ESM,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,GFDL-ESM2G,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,GFDL-ESM2M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,CNRM-CM5,CNRM-CM5,CNRM-CM5,CNRM-CM5,GISS-E2-H,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,GISS-E2-R,HadGEM2-CC,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run1,run1,run1,run2,run3,run1,run1,run1,run1,run2,run3,run4,run5,run1,run2,run3,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run6,run7,run8,run9,run11,run12,run13,run14,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run1,run2,run4,run6,run10,run1,run2,run1,run1,run1,run2,run3,run4,run1,run2,run2,run3,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,0.534877385243,0.53251292662,0.544788524084,1.53068289415,1.45883152601,1.56145201293,0.671052118384,0.379246509248,1.13158689077,0.627275266805,0.571278849303,0.690286251971,0.604399766239,0.601507765348,0.636723743029,0.801537361875,1.18575343838,0.865146889841,0.731298002024,0.658120274959,0.557610902521,0.346092630949,0.436648898881,0.767251897317,0.471549887054,0.463612377231,0.465905885308,0.538674465086,0.61929824372,0.726467608843,0.580093882404,0.558548347474,0.487933909357,0.676269667304,0.573148886463,0.391296627793,0.757785539998,1.68442832887,1.11045880355,0.699068641606,0.673517849028,1.07375830689,1.03148386235,0.855198034964,0.456812811721,0.456275686681,0.704667783275,0.4514243486,0.413174077719,0.582373102731,0.429302011225,0.633658648486,0.583665433939,0.620801377889,0.77474595842,0.977250986761,0.934078636352,0.791658654136,0.590352054667,0.693434734633,0.570722901749,0.292861752724,0.612541072591,0.69916470256,0.580495276145,0.573848407166,0.732983432687,0.402654401522,0.672812515848,0.731904388995,0.868527562101,0.579492978948,0.858428641997,0.777112683653,0.763196447112,0.790246869005,0.524505312503,0.470826938562,1.00534844466,0.932404982706,0.333973847138,0.416507776067,1.11800877273,0.719632979637,0.912035449318,0.540547494604,0.800993155513,0.860232904871,0.662687197027,0.506371199457,0.605403229032
2006-02-01,0.463823626529,0.458938858441,0.839902895394,1.47337998375,1.86347786727,1.40484518349,0.475227978882,0.380908388943,0.664199750723,0.739663532821,0.834263981887,0.66526250942,0.606089092045,0.703455867988,0.597398497091,1.05166814245,0.801500173715,0.49765394369,1.08778933174,0.865088130013,0.612485797039,0.852861878488,0.761861676156,0.934975440012,0.605459765843,0.611436907198,0.936012342865,0.391395529488,0.647611813802,0.557951821538,0.639589003896,0.734098893266,0.791875359206,0.496955240775,0.642227546799,0.65230150201,0.673332815214,2.1524768368,1.29588232513,0.604412643687,0.820314773568,0.766004360655,0.46822511041,0.560363869859,0.713643932771,0.861154013713,0.457596552913,0.671403712966,0.4402639752,0.832345226812,0.380770766727,0.473140044894,0.47169554738,0.935829159953,0.624962918245,0.571721453235,0.696421243529,0.798404693587,0.781833323491,0.540026844763,0.587877545709,0.57263710067,0.520760344153,0.681563971355,0.787441972648,0.358216760254,0.73202850391,0.743426316908,0.451951942441,0.468193080094,1.06530182091,0.968405366427,0.994279686804,0.718416678415,0.870984016948,0.769605719009,0.777059722271,0.403176082646,1.13146751154,0.937538619321,0.394550594971,0.65603814529,1.1607548794,0.776852389791,0.862933813951,0.59943410467,0.774412925679,0.914932582561,0.605447975309,0.758938381859,0.621893785423
2006-03-01,0.54092662859,1.01224771658,0.928352552453,1.30463673102,1.27344434445,1.47960533973,0.601918269652,0.721647935642,0.867492155514,0.719881359053,0.748827691639,0.661038909372,0.68352120264,0.686579492488,0.652344181455,1.04914760826,0.690690356837,0.998886909989,1.01146799927,0.77621659373,0.884726901989,0.993213749569,0.949983120089,0.979110765165,0.974762719168,0.875740662561,0.977981156239,0.925594416471,0.987203613591,0.673564111852,0.790481416331,0.799786861196,0.841535661426,0.490342897392,0.859619319436,0.499557855717,0.845066315951,2.06117628717,1.15939764808,1.02385827604,0.798795760181,1.2036468289,0.975243073222,0.858385771177,0.828297100847,0.602894963537,1.00190752283,0.804243693145,0.551232772669,0.578158030677,0.792350654299,0.856080208621,0.752212601256,0.697281744096,0.813843572468,0.831965962236,0.845355062707,0.788346164047,0.725478031072,1.43558661839,1.01495083606,0.961645148159,0.989982293901,1.1136200543,0.767017392715,0.519167928848,0.704052898936,0.612690895938,0.571966018869,0.65744025459,0.719159749842,0.94862281279,1.06050740359,0.811388944519,0.943530095915,1.01675029519,1.0806045616,0.802121641374,1.20965875434,1.31658905396,0.410412451012,0.838622015638,0.911114997787,0.760103133594,1.01400444032,1.06327394028,0.681328844171,1.22729067901,0.634250441217,0.554059632996,0.561068842598
2006-04-01,1.68154002117,1.80180999178,1.2946804069,1.42748246766,1.41010886535,1.65048218826,1.20643849761,1.00378889358,1.46064685224,1.21604119801,1.09095641803,1.03280714957,0.820892306068,0.738840729622,1.07783860803,0.915379297703,0.922737816903,0.89342896711,1.82770542058,1.3774879935,1.40286406626,1.53510624809,1.52079030407,1.46084834513,1.40467464257,1.54554379322,1.57621348187,1.53576972845,1.45077357069,1.0695286201,0.795059002053,0.768888253978,0.643343099053,0.77207291217,1.147009032,0.580857792046,0.806512934806,2.32068283671,1.03310331689,0.954491735962,1.38248584757,1.25228131704,1.33197454221,1.05364398908,0.98470388895,1.31829298293,1.0448152105,1.21659731301,1.11920846733,1.31092281928,1.17648670637,1.21658821183,1.15605399492,1.10453836489,0.883860598621,1.37896391499,0.797534714893,0.759277804941,0.786585834608,1.29971963085,1.1986150236,1.0788966184,1.03440028236,1.27628532972,1.37467726798,1.27356018781,0.947679974396,1.14621151046,0.894318605329,1.22880774716,1.29666301179,1.2215645906,1.63896811593,0.751958199534,1.15628988277,1.52641377196,1.23233024065,1.34567465761,1.24670276018,0.795523798969,0.957210135883,1.24783594738,0.978710760306,1.04047052287,1.43728146388,1.48407378222,1.45538774092,1.04935302114,1.04193468984,0.773041739004,0.801951378597
2006-05-01,2.12729560321,2.15121554313,1.85107347675,1.8881709147,1.87250666489,1.57828718349,1.92847979134,0.748659464596,2.08697267313,1.60517962224,1.69481632996,1.76450918614,1.86493680777,1.66707249415,2.25591765116,0.796786711236,0.688378258485,1.44017620596,2.25641136802,2.03646538986,2.29952068191,2.06168256567,1.88512229498,2.42933040291,1.74648812221,2.30035051406,1.79265001578,2.03547841196,1.85901247076,1.7769894952,1.22539226853,1.03200872313,1.12519462953,1.26547637187,1.39270458552,1.07442399669,1.50174448402,2.03474993136,1.36532880267,1.88723706265,1.8807172039,1.71715343896,1.56614487934,1.94521258358,2.208367448,1.63582064202,1.78021110319,1.8063240079,1.72287066517,1.81162559273,1.9945918216,2.13832982157,1.78860366295,1.90443747667,1.72303972949,1.47313364305,1.19770180336,1.68387299263,1.55335260241,1.43478625179,1.34702761314,1.45877354044,1.12383836225,1.15918329339,1.47508777758,1.99267307677,1.8248739237,1.80729773362,1.77798624572,1.50874322083,1.49768053877,1.67285546596,2.0904708517,1.31032175106,1.36816896111,1.96933989515,2.47704100584,2.13518651249,1.52708044657,1.59767313132,1.97285865061,2.18320005501,1.19646570329,1.35583778714,1.98979861717,2.10625292215,2.36587651967,1.19603290886,1.34755750197,1.39166838858,1.60397551023
2006-06-01,2.71391914619,3.06795784213,1.84153950617,2.53699167865,2.29893911272,2.36336761726,2.40875802981,1.58341126278,2.95852279222,2.6469326587,2.16622113019,2.16826071075,2.22099718332,2.10116506663,2.17531963136,1.14264375767,1.02059560198,2.4490294991,2.9930691919,2.3308244622,2.18732124113,2.35195797535,2.16118439282,2.61488688063,2.45303468601,2.2420014972,2.30130969097,2.17464030237,2.27262633852,2.72419293214,2.59788100126,2.49999664146,1.97754534143,2.3009303459,1.86065141567,2.19723341091,1.99143652891,2.18967682579,2.55588242885,2.61772891785,2.61665300836,2.75724583809,2.2941472696,2.28638620127,2.49978299392,2.50547179153,2.40345079559,2.39137397417,2.57490872705,2.31762989402,2.47097602533,2.79980834352,2.29144695157,2.64537126854,2.3254732151,1.9228374448,2.73296371792,2.48563096407,2.51965804308,2.2406150307,2.43027865768,1.83355429339,1.97763045845,1.97665757483,2.3786860606,2.66824145652,2.98568700011,2.63394704933,2.44194275528,2.45965658254,1.76085796989,1.96513439664,3.00187898413,1.70620462409,2.44748231849,2.90803671823,2.87087680284,2.85821533775,1.7494014196,1.85412296118,2.94447676247,2.38918864849,2.26259303756,2.32864526386,2.15372065957,3.26616774829,2.51745891596,1.53407282083,1.89138641682,2.61020079201,1.98540001794
2006-07-01,2.65492650034,3.14652912829,2.33738439689,2.78569385506,2.73944585825,2.57313124466,2.99704062239,2.53713187815,3.21305423656,2.70266747999,2.66910345713,2.53585248213,2.67689860359,2.44857230844,2.40144937781,1.38594174763,2.24780554463,2.74026160011,2.967094925,2.24287910639,2.58254355232,2.40285379778,2.43215002366,2.39072107518,2.51505697587,2.47131807386,2.51004082201,2.28471962991,2.33608477781,3.28904519694,2.91257067118,2.79378053443,3.1442197468,3.16118190908,3.18041159031,3.25746058533,2.20628300181,2.27766567882,2.92458136688,2.89592678364,2.84045847373,3.00392035957,2.84651304467,2.85966106386,2.40518893218,1.98029779142,2.36033904437,2.36391658985,2.22979739337,2.26351786198,2.03512436127,2.51544035615,2.51137962358,2.46173375576,2.62565433345,2.70933762817,3.23939588472,2.73954982892,3.03364862505,3.01846088755,2.95497104708,2.64784125715,2.19212025499,2.69566452826,2.53561166656,2.27674176892,2.87469347854,2.81643018895,2.62778716975,2.25269027276,2.52896429782,2.10983591226,2.86356960954,2.24529449938,2.56479873751,3.15113820111,3.37245485429,3.36854459612,2.05122240588,2.33970086672,2.70919368872,2.93405809826,2.17811698604,2.65370580516,2.09723057234,2.93889918126,2.96368697413,2.34302891794,2.51461249928,3.02244648896,2.45572084528
2006-08-01,2.42097826902,2.63404633856,2.32098171633,2.40089488396,1.91125596982,2.59775060174,2.32128936572,2.19847878927,2.36961509773,2.09754223045,2.67954395202,2.42506334072,2.16006577002,2.28769888667,2.54249318442,1.7167942562,1.28459117225,1.71007185026,2.56876992901,1.62822371237,2.00029120213,2.10572990471,2.04019290665,2.42106457508,2.16275802848,2.16692957579,2.18863396491,2.21980180382,1.98189355589,2.34932759934,2.6370179141,2.8020675361,2.43996212091,2.16829143685,2.33585562705,2.7798010109,1.89459483419,1.72480569529,2.17951745772,2.44970329609,2.51539563498,2.43201574599,1.87685508856,2.01588581391,2.45225527595,2.11140576014,1.98048004602,2.30673452889,2.08544159221,1.93541706766,2.41493433947,2.17953990321,1.81410775024,1.8900788264,2.36145597998,1.97608066873,2.30395799668,2.75172032553,2.96502318794,2.58270620552,2.48809932978,2.44400868914,2.60560277479,2.44487285522,1.84463276178,2.30329405747,2.27670722295,1.98102254541,2.67088689876,2.42517916256,2.13083392184,2.05755921109,3.03170900178,2.35778984238,2.46430736148,2.71408168969,2.79204757207,2.27649109767,1.76544396007,1.97030017827,2.59403544129,2.63860761527,1.95134618242,2.19906380826,1.68410841653,2.90415545756,2.3063078073,1.72377865403,2.06521521686,2.61265025743,2.48342604034
