model,FGOALS-g2,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,HadGEM2-AO,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,BNU-ESM,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,GFDL-ESM2G,EC-EARTH,EC-EARTH,GFDL-ESM2M,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,NorESM1-M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run1,run2,run3,run1,run1,run1,run2,run3,run4,run5,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run2,run3,run4,run5,run6,run1,run8,run12,run1,run1,run2,run3,run4,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run1,run1,run1,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,296.916936497,297.460424155,298.799452971,298.281076758,298.626463615,298.68979879,300.928017301,298.793486759,300.573337843,298.801758876,299.520114312,298.927449611,297.192196441,301.350157714,298.876771031,298.514378257,298.489886283,298.57205943,299.772308944,299.518775373,298.064414399,298.844010127,298.053101763,300.399855857,299.239076224,297.943863318,299.568496395,297.962274191,298.541459966,298.743812248,294.702231342,294.820309634,299.090527738,297.008094367,298.159475763,298.828287665,298.106089679,298.990356445,299.587840833,299.02596493,299.359968249,299.222288014,299.254313587,298.515155562,298.348640405,299.122417294,298.065966899,297.882504405,299.844384558,297.751052335,296.840167753,299.549371585,298.068588544,298.42043171,297.591802191,299.032407349,297.991325725,299.69585101,301.362078099,297.800896049,298.645285311,297.816403823,297.80211107,297.744899231,297.680480342,297.808907575
2006-02-01,296.374949643,298.03062407,297.772999652,298.222534217,297.944040212,297.612143889,300.584263893,298.261705273,299.325949107,299.037967781,299.044584846,298.79225929,297.924172466,299.681612955,298.548931068,298.222647085,297.54224421,299.123526627,298.945517594,299.717972561,298.801997149,299.316943376,297.821321424,299.422254871,298.786189979,299.34518409,298.525167318,297.990356879,299.082801621,297.608568116,295.256784472,294.948053254,297.999574087,296.45079853,298.860399922,298.37611452,299.257690273,299.74786377,300.92813126,298.76322078,299.115455624,298.967881887,298.328390413,298.898559069,298.354727794,298.322682201,298.233438839,297.764913023,300.357994414,299.10669738,296.601108406,299.093576645,298.771829575,298.732967518,298.242486161,298.323249096,298.15087018,299.583372459,299.956544257,297.271712738,297.358140016,297.292239485,298.167273928,298.674584334,297.689770982,297.887157654
2006-03-01,296.500016198,297.732663191,298.160233817,298.057978184,298.509556406,297.915396875,300.330069428,298.416390356,299.0224184,299.034588195,298.492122591,297.965924734,297.727309689,299.492399067,299.641845415,297.984474272,299.485092193,299.408227707,300.847396945,299.593698804,299.213359899,297.803637268,298.830013716,299.85421584,298.904671765,298.884789824,299.503338773,298.689754004,299.005881646,297.608730583,294.69241325,294.749091711,298.428169582,296.89714858,297.645417088,297.997593423,298.305458937,300.15057373,299.336290699,298.720978942,298.729634384,299.002544015,298.438525752,298.852913043,299.048698353,298.776100214,297.241742995,297.155657495,300.001821375,297.870838372,296.506550418,300.201952604,297.642465209,297.427805765,297.924392938,298.715471554,298.143740959,299.534810935,300.784308713,297.674208264,297.676659829,297.424630083,298.647076226,297.449607352,296.952354453,298.267099728
2006-04-01,296.300398278,295.640753449,297.049076972,296.985172041,296.737330392,296.351008112,302.829496338,298.580243859,299.794415975,299.352247515,298.393984893,297.297731558,298.407717807,298.440141755,301.672078459,298.352000659,299.276588638,299.562609371,298.895587481,298.144635133,298.104470405,298.644650982,298.499070727,299.538955875,298.065014288,297.600312591,297.879503308,297.530549208,297.840113268,295.634695484,294.702398474,294.802615862,297.095252511,294.92048389,296.258563005,296.698237248,296.339394904,298.170654297,298.75361049,297.877855886,297.131729472,298.41064205,297.911486037,297.757014343,298.204216903,297.597924929,296.369138561,295.678328553,299.36194011,296.457955392,296.950456402,298.606041715,297.303500235,297.491272641,297.104290699,297.315983761,296.627685291,300.263324217,301.531487292,296.421324841,296.708949291,296.536893066,298.298307116,297.094899679,296.588600663,297.77537255
2006-05-01,297.238393838,294.277115357,294.163207319,295.159583359,294.194082922,293.723837493,299.839347506,298.299715649,297.959875147,298.971712615,298.057029485,296.003851631,297.929162308,298.598604358,298.923495101,297.908713123,299.51233862,299.800494779,300.123619412,296.74328041,296.975778259,297.594690216,297.872396907,298.047812719,297.057281062,296.078405615,296.081142651,296.062308682,296.608242352,292.851342677,294.322281577,295.000615382,295.802948504,294.255051629,294.187833582,294.606361771,295.371249486,295.792938232,297.289802092,296.064345624,295.696285267,296.442218276,294.785820082,295.579629918,296.304202564,295.640421008,295.380641211,294.222114311,301.270059028,293.588417427,293.721710441,296.69423435,295.906616212,295.55802136,295.096745784,295.719716199,296.008336788,299.756628241,301.108992609,294.649981721,295.38302865,294.256236529,297.12665012,295.917192057,295.032852419,296.879373783
2006-06-01,295.749593032,292.642870943,293.274620906,294.175382986,292.759455047,293.581033491,298.4322181,295.563911134,295.36115157,295.817885114,296.569248115,294.732235116,296.123614158,297.437206187,297.226605511,297.155730673,296.997223496,296.421086903,297.996264544,296.380388039,296.077931268,296.780397158,296.129892581,297.346608611,294.917458044,294.539045371,295.388502488,295.146225741,294.225592903,292.54708928,294.025172916,294.004138223,295.141332035,293.208421106,293.291912594,294.501468795,295.08381988,293.850524902,296.5348331,294.991715648,294.994630576,293.668045321,292.520313822,293.202940119,292.641963053,293.225554211,295.150377494,293.074306371,297.855962884,292.866850665,292.792883531,294.811555533,294.352491857,293.825826691,293.77197645,294.71518742,293.980695451,297.962866825,298.64478061,293.321422772,294.137786801,292.996070485,295.609743501,294.69338868,294.269773855,296.424684056
2006-07-01,296.403964906,293.013230228,293.363997427,294.608264955,293.565127141,293.881375486,297.69724426,295.366266994,294.554101635,295.603408834,295.076629825,294.34026526,296.091009744,296.929763344,297.218815178,296.882611005,297.768787729,297.396721544,297.411124522,296.680805257,298.735848584,296.430507339,295.757664823,296.412336339,294.463072015,294.594570111,295.144803652,295.484702733,294.30596355,293.15413801,293.712655109,294.562660285,295.857982855,293.5138384,293.211250819,293.516597736,294.585510838,294.10369873,296.89138665,295.587349349,294.911585279,293.453190641,293.188628596,293.742432668,292.402415531,292.806989923,295.367655574,293.480693826,298.453879359,293.193052907,293.064299156,294.5771418,294.457267761,294.148838566,293.999075986,295.709375301,294.723205757,297.286175036,298.567459051,292.587369543,294.290794076,292.024224194,295.068334392,295.893625672,296.025485384,297.377099472
2006-08-01,298.619239738,294.902705276,295.602617118,296.886438735,294.66191109,295.337206952,298.701281092,298.103859653,297.736495069,295.966844029,297.248490875,295.339184034,298.900602643,299.254948507,298.705840752,298.665298034,298.883225088,298.519505481,298.516713855,298.273461652,299.43799785,298.517054004,297.175857188,296.842725275,295.600180277,295.788093809,296.986668147,297.064323431,296.961302576,294.332043799,295.733010813,295.940907876,298.492044832,294.430479475,294.136024963,296.096137803,295.011878778,295.541503906,299.319477325,297.66354156,295.893837726,295.128487573,294.145479932,294.636998529,294.62808315,295.058940537,297.054293166,295.862323081,302.043781879,296.208997017,295.266089878,295.223802717,297.050390494,295.995000309,295.337555071,297.784792328,296.254741228,298.544619192,299.856547911,294.843444937,294.859311718,293.793854296,297.572276168,296.253052979,297.405382021,297.729607298
