model,IPSL-CM5A-LR,GFDL-CM3,FIO-ESM,FIO-ESM,FIO-ESM,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,HadGEM2-AO,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,NorESM1-M,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
run,run1,run1,run1,run2,run3,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run3,run4,run1,run1,run1,run2,run3,run1,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,1.19052758697,1.21217552382,0.49561257453,2.00668089965,0.189455721057,1.21059537606,0.238589229165,1.40654154278,0.121394775933,1.11766291515,0.28335711931,2.50529724322,0.994706060662,0.297353886924,1.88085146171,0.295660804656,0.624771315601,0.0522030735657,1.07565040644,0.906719322117,6.50757876173,0.0883133853195,0.250063353221,1.11295679099,0.251888389336,0.668311870134,0.180032781941,0.484418241533,0.173550870377,0.427891090644,2.78304603179,2.4200733038,0.414425290064,1.78691887856,1.74078129056,0.504064214597,5.76841585961,2.596017085,0.611073116715,0.498500421667,0.729800172829,0.253651712665,1.07606036295,1.54042667184,2.15189968769,0.0645591448484
2006-02-01,0.0957739009698,3.06310693652,4.26913662507,0.906719837136,1.04314716415,0.936451826339,0.221156930351,0.163182856283,0.689785405756,0.143102504732,0.135169463055,1.41385413051,0.792311415251,0.229547823137,1.06519271171,0.0910575996035,1.01083660565,0.104003516051,1.44866753612,0.151915465774,2.24550071214,0.0675234169525,0.216078047008,2.88927664679,0.812763190096,2.18384344171,2.07465548948,0.997516530335,0.227057482416,0.996862280743,0.717522835557,1.15294567321,0.535730716549,0.610143244267,0.250351215016,0.473232146788,1.38128521743,0.17142076689,1.08985815177,0.0759629536264,0.98454510166,0.280406956986,2.50946087967,1.24070121208,0.105599602064,0.50860970821
2006-03-01,0.106454467001,2.16509433579,1.02455469884,0.312712751965,0.452617703805,0.495284227814,0.201938565383,2.21305002536,0.43043793014,0.138877483273,0.229261518087,1.82506055689,0.561262435101,0.23155371913,0.251998729459,0.0446249219322,2.04068370596,1.42803393327,0.431273401095,0.332289276675,0.841606947982,0.170661512401,0.175777387147,0.466793467968,0.545502325426,0.498175024722,0.328826707004,0.116831383444,0.43416162375,0.554121553178,2.86410295172,0.42296888215,0.344601045209,0.317688405514,0.0568604352353,0.0572610955239,0.202050612666,1.29175672239,0.624054462157,0.66329355914,0.316742907142,0.194408696487,0.622098645641,0.171996929221,0.703157593902,0.0422650159828
2006-04-01,0.132487321033,1.21261748964,0.617217549975,1.32079390523,1.16553466059,0.390969720295,0.298403728891,0.518542492508,0.281539915949,0.191053389211,0.219165418718,0.727304900384,0.454941573617,0.0662114210352,0.151675230966,0.266505399918,0.39253312965,0.227770516658,0.777052553338,0.87043220782,0.0947730616998,0.124088699256,0.250882472837,0.437216795997,0.0763695688266,0.512854262333,0.149657150896,0.214993757857,0.100150103763,1.21635112926,0.125580083083,0.55576423646,0.19495950937,0.0668338760734,0.0929485614803,0.224525681608,0.159488496364,0.50063330502,0.359075788782,0.481923567937,0.161751800296,0.171479370161,0.31450564042,0.0455258873004,0.588519845873,0.495854764012
2006-05-01,0.0969603959364,0.0907328128613,0.488330547956,0.0266095187671,0.00598279251498,0.0701979088854,0.137998613188,0.190987480459,0.142863015237,0.108537690617,0.47746780804,0.336342862187,0.0157725612728,0.362597629638,0.107745334049,0.178891670133,0.132176531091,0.08705415336,0.0687619034876,0.0462733626336,0.114361327978,0.130935807222,0.134624793488,0.141779151538,0.0994442288058,0.362867737079,0.186178279735,0.101994792945,0.0272418577284,0.363585698356,0.629215355136,0.0408967440917,0.134130924377,0.220415890217,0.0579498607699,0.0537868717064,0.0489906186471,0.0598855503107,0.0471790726643,0.0632636539601,0.138674312502,0.0675969877666,0.0422483264349,0.0617605190869,0.0910909192298,0.0330457852149
2006-06-01,0.00421079432996,0.392081725452,0.24281916703,0.129594173401,0.203312541908,0.0889538497448,0.362440198168,0.15280819918,1.72081844588,0.0564727120991,0.194567677866,0.751258180686,0.425669223686,0.0529508734807,0.285017302863,0.102769397951,0.0841656066537,0.125701675088,0.207815654234,0.13751685687,0.0671696880231,0.195877716652,0.148519049423,0.252918360022,0.141952035882,0.122904639343,0.175831760596,0.0984314351927,0.0865811839271,0.126004633041,0.0131820747094,0.00246582327295,0.328709789879,0.287049233913,0.092007405817,0.139116851383,0.0799582188734,0.071278040035,0.115569005613,0.0375959271826,0.0558167148258,0.112082373064,0.102256197197,0.105147236696,0.147034688383,0.00776338547604
2006-07-01,0.899913643181,0.971557261825,0.713430494767,0.0731411592771,0.589798340949,0.258345580495,1.92950514524,2.1470576817,0.601528521634,1.46297245793,0.886089900071,0.352930303645,0.792729549793,4.0116221826,0.458630217721,0.639937696137,0.356638441072,0.290390156161,0.339915201585,0.278708576643,0.423024073433,0.634371129659,0.455425121845,0.591770878297,0.290524142421,0.472975916184,1.32676130896,0.699398759504,0.438787242427,0.736715612488,0.805926266434,0.012966684347,0.839095480683,0.374677538872,0.135016530403,0.154434844974,0.180250234895,0.34147055931,0.643256369572,0.367774459491,0.192080853577,0.153589174638,0.107030087209,0.263706396425,0.486846498859,0.0460762815916
2006-08-01,2.04858436943,2.09036570218,1.30372260959,0.738065330581,1.12543104579,0.260906754832,1.5967321873,5.32030847026,1.15634426479,0.789019067919,1.41879254487,0.442266051939,0.505979230726,1.95365703771,1.15223675939,0.510558222546,0.439528744715,0.607460033166,0.920399781867,0.554603221633,0.610488227056,0.80854096874,0.555395756642,1.50923078692,1.74689607661,0.178385465757,0.521313399739,0.804553532506,0.576532195172,1.22935833364,0.820880190913,0.367578779904,0.54885862317,0.374330401421,0.490855715126,0.569053617709,1.82136695347,0.491239208085,1.5080876464,0.926762838762,0.11884373691,0.329204496471,0.247102208949,0.836086436604,0.785108334411,0.276385995454
