model,FGOALS-g2,MIROC-ESM,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,BNU-ESM,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,GFDL-ESM2G,EC-EARTH,EC-EARTH,GFDL-ESM2M,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,NorESM1-M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run1,run1,run2,run3,run4,run5,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run2,run3,run4,run5,run6,run1,run8,run12,run1,run1,run2,run3,run4,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run1,run1,run1,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,283.91799689,289.614485038,288.840203844,290.468866269,288.483615381,288.486792326,287.928330316,291.716611334,286.799744489,286.505100593,288.260502956,286.372571019,289.101025005,288.332775008,287.358134336,288.244068807,287.268668722,286.530057398,288.573863428,290.830454208,291.805949535,290.129834464,292.307744891,291.385721068,292.767163037,289.116203094,289.631713712,289.912719664,288.612877974,287.641411618,287.147139249,287.196426766,287.93423137,289.646148682,290.515208919,292.841892904,292.052402491,289.164466123,289.502350329,290.129243959,288.20064937,288.487664559,289.714161925,289.118808782,290.928976704,290.068790147,290.326575736,291.361481914,291.582672791,291.092209345,291.23121501,290.449599643,292.713439493,291.618578248,288.726079101,291.615861863,292.713047617,292.34344686,288.151006596,291.177771333,291.365558597,290.882082468
2006-02-01,286.525865572,289.932388404,290.013017168,290.597813322,290.846077809,289.795460754,289.030517796,291.544455161,287.796452892,287.465187881,288.970259486,287.81664136,290.201758802,287.918669947,288.051811599,288.464781302,288.412472332,287.137923587,289.850657963,290.764730156,295.028763928,292.720388721,292.971260052,292.891842754,291.324886357,291.431759804,289.596929243,289.9215909,292.051763814,288.934280948,286.569327601,288.24877611,290.057368097,290.83392334,291.553025127,291.96342409,293.589341932,289.440225539,290.380428034,289.676884683,290.380287924,290.062202004,290.224983083,289.151582371,291.109891955,290.914367494,290.375618976,293.11516521,292.342714136,291.99884146,293.127388233,292.853651101,293.611666296,289.95999548,288.960068389,292.549657415,292.457542233,292.61115807,288.919893023,290.806778707,292.284448998,290.87513462
2006-03-01,287.337677251,291.205288351,293.007114902,292.546073755,293.653602942,291.704084162,290.443321804,291.544544328,289.400650141,289.418292311,289.686324827,289.320272395,290.424873762,289.027014685,288.656213355,289.690182123,289.685447819,289.017673294,291.586241212,293.453055028,294.341493394,293.8803211,294.72479273,293.568640588,291.968621357,292.156288039,289.363805596,290.24671619,291.228096927,290.521925579,288.800113411,290.512894281,290.574360015,292.201293945,292.706469446,293.959685159,295.06324266,291.131558449,290.426114758,288.431455059,291.129035072,290.019303439,290.388218459,291.591827819,291.820921947,291.451502042,292.153324376,292.699803306,294.046569708,293.714867235,292.57882192,293.321703868,295.373007851,292.128454874,291.116956251,292.788155964,294.51284703,292.522358157,288.836969872,291.77613117,293.514463205,291.176942942
2006-04-01,289.597016907,292.199925462,293.78977573,294.062711668,293.197782082,292.420019989,294.324834733,292.774430157,291.202915686,290.999085906,292.192225469,291.037134078,291.193598648,291.009255519,290.332149893,290.555305379,291.425377382,290.295379969,291.370632325,295.418170322,295.495243514,294.894702728,295.700507915,297.181187694,294.627568111,294.675858847,291.660873685,292.367804354,293.603989545,293.229631722,289.325720011,292.311967209,293.421179242,295.765441895,297.002009768,298.040785165,295.631674457,293.567323473,293.622764677,292.103181924,292.768216205,292.892090093,293.441272718,292.335029423,292.440851865,293.030997969,292.711506986,295.680029762,295.43641348,295.002502034,295.028725689,294.596802381,294.494513786,292.825029928,294.466517886,293.881926888,295.327242625,294.700558664,291.950528968,293.440918367,294.128354321,293.041994149
2006-05-01,292.091177985,294.244852206,294.922469224,295.678676684,296.101982685,297.824057314,297.400617523,294.882048285,293.263755049,292.695948735,293.086084667,291.908219351,293.318038191,292.644200955,292.314570033,292.990351643,293.208790971,293.237116647,295.917967014,296.999034823,296.355097875,297.287846436,296.642692061,297.99371808,296.556838879,296.196326544,293.177056464,293.52865838,294.778610174,294.347165486,294.448356201,295.02625359,293.299193087,297.431365967,297.151030375,300.142639535,299.597581482,295.77994443,293.937168355,293.545334607,294.365154987,294.241865612,294.649170807,295.988574489,295.39705994,295.830904239,294.968140253,297.268428311,297.077208279,297.160588643,296.418613051,297.480335363,297.021553755,294.218961805,295.605216369,296.797820881,296.443332474,297.205982622,297.167852089,295.204480352,296.3619275,295.33710156
2006-06-01,295.411496231,298.055333677,300.296241441,299.082012489,299.543783005,299.909357825,299.866016644,298.9197144,295.654991284,295.829123697,296.288313736,297.205994712,298.129399085,296.841726873,295.55070009,295.113652105,296.482399473,297.213462559,299.353405901,298.261958347,298.635619594,299.005107556,299.996711382,298.3721406,297.624333848,298.704996546,297.119001122,296.052594387,299.247527862,297.989457292,296.885866995,298.155526674,297.455355625,298.243896484,300.168066783,301.623941932,300.475422405,299.465772427,297.96884131,296.431692357,296.415070037,298.118805722,297.456983908,298.196737595,296.973586989,297.779238004,297.820382573,298.904452197,301.023660411,300.13614195,299.895674708,300.083174239,299.319037362,295.389668282,299.554611349,299.630593796,298.342967163,300.190554536,299.474226265,297.822349549,299.334031005,299.227424036
2006-07-01,297.904202517,300.530250849,303.39592526,303.315841411,302.045461593,302.282816047,302.907357614,301.391498702,298.159953456,298.500211856,297.67938836,298.368223407,300.04019628,298.734391459,297.99534371,297.817118727,299.26621888,299.083091726,301.933787251,300.078716177,299.869830744,300.283722003,300.52431849,301.25648625,300.523757319,301.504817831,297.671070114,298.366494755,299.755081389,300.176931266,299.320901718,301.352972879,299.332262554,299.965789795,302.90498783,302.209018665,301.780970359,302.537452831,299.481241611,299.749639064,300.108867859,300.12712506,299.415701938,301.304553488,298.896251216,301.342557265,300.678170356,299.949878288,301.694660785,301.383744836,301.297557589,301.654444991,300.538431641,298.071371963,301.010479486,301.88172538,301.758517159,301.494720497,300.879121416,299.884429234,301.020498167,300.138255568
2006-08-01,299.030849759,302.029573172,304.248153647,303.819511183,303.975245706,303.844401906,303.736384103,303.127657444,299.656853081,300.653364268,299.985048808,300.088314978,301.630468591,301.442562056,300.803543881,298.838484969,300.221289606,300.172584334,301.231449734,301.300482379,300.599764123,300.198516924,301.061541228,300.90912814,301.710642163,301.896490074,298.600149757,298.690296248,302.033112931,302.217939439,301.631453546,301.62155842,301.382754481,300.220581055,302.805955458,303.215859265,301.617559971,302.272894116,300.326511675,300.438199269,300.720756526,300.579515795,302.455648253,302.376729917,299.272018308,301.359790826,300.282200657,300.85624491,301.925345276,301.868232495,301.705460284,301.686691097,301.835687749,299.525254345,301.440209265,302.844394886,303.668460719,302.978348706,300.448629902,300.815541632,300.448438365,300.931771161
