model,ACCESS1-0,ACCESS1-3,FGOALS-g2,CMCC-CMS,IPSL-CM5B-LR,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,CMCC-CM,MRI-ESM1,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CESM1-BGC,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,GISS-E2-R-CC,BNU-ESM,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,GFDL-ESM2G,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,GFDL-ESM2M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,CNRM-CM5,CNRM-CM5,CNRM-CM5,GISS-E2-H,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,GISS-E2-R,GISS-E2-R,HadGEM2-CC,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run1,run1,run1,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run2,run3,run4,run5,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run5,run6,run7,run8,run9,run11,run12,run13,run14,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run2,run4,run6,run10,run1,run2,run1,run1,run1,run2,run3,run4,run1,run2,run2,run3,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,243.172488987,260.975745489,254.370495041,252.559065075,258.269278597,256.009925964,260.784281353,259.355744317,257.660534511,256.162829089,252.06842694,260.943049064,261.541387887,260.579569119,258.469120568,262.572039368,259.216975685,258.786403651,257.860831465,259.521822172,256.320345384,246.238400475,257.738761906,251.475050398,260.869707293,257.576814547,254.740182685,258.554974103,253.346291777,248.020702136,249.061211438,254.114941141,255.673636745,258.507741552,254.799364918,253.648769825,268.455314493,255.044856685,250.363127174,261.349285765,247.646961233,253.463647753,257.093145888,246.618950057,256.327664732,252.068281827,251.373313709,253.738315821,253.380184236,249.62707138,260.153331075,256.025634136,259.663971886,252.089818059,265.339918373,267.486663641,265.643301584,258.505288045,259.499976823,259.290370889,256.738780138,253.175171809,249.596534939,254.677539108,261.188362154,261.709704798,259.440362214,256.735776366,251.275944444,249.248986188,248.092698061,246.169168223,255.068743728,261.77278076,244.90130353,247.346935827,258.038463924,249.711456404,261.668851951,256.357992887,254.609893798,253.492735959,256.748679366,253.834905711,257.062681184
2006-02-01,249.679873768,259.228771423,256.312055911,258.681476478,247.613622923,261.644288249,260.225236854,258.910434677,263.520151968,251.654430444,252.063655406,260.821812201,263.564772526,258.45609914,252.0503296,259.794903917,250.700420748,258.161052646,257.532783563,256.49285252,253.159633203,250.842502388,259.845230148,254.788754341,261.500895824,259.544161098,255.678796416,255.760753786,258.674715337,261.639722652,261.428414882,244.881482824,261.683392512,264.011120427,257.088630031,248.758224972,268.865886546,267.304060454,247.214618439,252.09258917,249.625713595,249.611150449,259.887443745,256.725173045,254.993616445,249.797478724,262.252242841,262.408681902,251.58866841,250.326941005,257.936299541,264.846193769,255.360272071,258.283809078,260.845206435,261.423023591,259.865032325,266.016676539,260.846105611,262.003856952,252.89805868,253.081487152,256.205914346,255.994287438,259.07507163,254.729211203,255.56792055,260.813924645,252.20255361,251.034191015,250.522034255,249.269668414,257.941483264,256.037269327,254.473195739,246.905477607,264.652861165,250.520682314,263.241881256,250.636105089,252.516097544,255.908160861,258.22138826,254.291128998,254.896404859
2006-03-01,253.328870776,265.730006271,253.05638084,258.240215552,260.323123457,269.389063679,261.707688222,263.38108863,268.032633606,261.075058192,257.215241914,264.903224041,266.351415796,261.159824964,260.204430563,264.647565734,257.824174553,263.226246527,256.867510386,261.492751894,257.111343833,259.122567733,264.313082347,252.161460696,257.916893416,267.795587031,263.593323545,261.577167938,257.658558004,261.388412738,261.639248304,255.320046404,267.199130016,266.454447145,254.762484082,261.501750496,268.76556027,265.563095285,261.772817925,260.512929827,265.267403703,252.435935788,259.847912319,259.846879738,259.06961127,258.708336401,256.945396738,264.433841482,256.793608301,252.512023975,261.614426073,264.586929701,267.610918988,256.275433162,267.098217869,268.273631811,265.62621333,266.568215315,263.259331393,259.430592841,255.929762848,259.098820483,261.142411219,261.680598016,270.263666557,264.469867066,260.772150745,255.480593062,256.037882511,261.764033396,255.960468357,248.914832054,261.998089048,261.248592636,252.173299624,254.317138384,256.161199687,259.107862367,264.830937264,255.454033884,254.652680269,259.864167215,266.445137397,254.917314126,263.423694495
2006-04-01,265.961517268,270.434198917,263.262556886,263.248110053,267.571338017,267.938542163,267.164432173,269.355302605,270.428539482,265.781223127,264.365947254,269.129166867,273.45303864,267.583627771,271.637523284,266.182906825,267.521902695,267.723273197,266.948083259,265.221739891,269.474360594,265.147263607,266.112263604,264.067401964,263.834815508,271.567617235,269.500236875,267.482893273,264.879160553,268.697440976,270.350700057,268.476957537,270.936928392,264.329010699,264.647821269,268.405023011,269.33218344,270.97252309,266.70631605,259.698973168,265.445247171,267.466565017,268.540301117,264.781977363,263.476521578,268.302333794,264.630938924,263.820591646,269.39218891,264.74336027,266.942742798,269.402391763,263.587907272,267.207395356,269.620026672,270.611128524,271.88602768,269.663945695,264.236598467,269.318788793,266.213323489,266.232944706,263.997286496,267.234316301,272.067128296,273.739883062,269.728112647,264.852675591,263.10121028,266.693682811,262.454515062,260.777094824,269.763153261,269.872487737,264.039990545,263.493009586,267.279340546,267.785343429,269.689628311,265.423372685,264.8187888,267.746959369,268.965990351,265.728669645,267.442405884
2006-05-01,275.72994897,276.658099632,272.758855453,274.777222424,277.233516503,276.857346252,279.756339583,279.527469468,278.325029972,274.631601823,274.665664802,275.423828254,279.985539713,273.249550588,277.683044144,275.801666043,276.33652183,276.595517768,276.512071398,273.312007933,275.481282311,273.750424304,273.836536264,276.303036936,272.048027969,279.563615489,275.660025669,274.059411871,275.553205135,274.119100348,275.265843444,277.556831605,275.901015033,272.208007282,272.052266213,271.884591751,275.463120374,273.553403657,275.391827364,273.751583136,271.496846151,273.565122404,274.571970791,271.371921477,274.739304071,275.112789233,272.855525418,274.287131153,275.242110713,273.955423538,276.002407544,275.851744375,274.221133459,272.196433934,272.007789134,273.100919578,275.77901025,277.866107446,274.391960971,275.382062241,274.052682416,274.780626911,274.602509883,276.224230461,278.000308609,276.506236141,275.193183766,276.135650575,271.217371714,279.193896571,276.546634331,272.91479547,276.859961005,277.561465879,275.771300599,278.253504944,278.441274908,274.153677793,274.131895235,272.758620691,274.476530019,274.399478323,275.455869749,275.618314086,276.794904851
2006-06-01,282.481281233,282.726971385,278.973633606,278.984415128,286.825098038,283.719984335,286.444734924,285.098942333,286.139874459,285.98049166,282.122616064,281.948686994,285.498274681,281.284774879,280.483814208,281.446185752,280.467274203,281.169134318,280.778281573,278.695119046,281.786554708,280.221546465,281.531257566,279.098898255,278.69806441,285.892464829,283.207230291,282.904324077,281.447078805,283.286202192,282.363297495,285.674444346,281.439167202,278.477150968,279.56584681,278.893952507,281.899511185,280.055596539,280.826787634,280.903828746,279.832123616,281.235999872,281.025245641,281.634576211,279.042473719,282.186191158,279.076940914,279.34110371,281.174810539,279.009226926,281.288922678,281.318121731,282.232279314,282.541892642,281.437402611,280.715826822,281.921651672,286.051350077,281.789627058,281.167161274,282.333963696,281.055840787,280.939416552,282.925657737,285.977646733,281.610974949,281.539610672,284.721341479,279.723252093,282.990653044,282.662711763,283.332461565,283.588546001,283.077451758,282.907845781,283.082794175,283.109439705,278.699568698,277.856598454,279.456433324,280.110002286,276.994183297,284.293943621,282.12428531,284.603351646
2006-07-01,285.040222724,285.774444319,282.285343663,281.179452704,288.271583552,285.10962727,288.301409168,285.853504416,287.698018426,288.065818016,285.294174941,281.288168954,286.650154532,282.528376332,282.397760746,281.69739114,282.612992837,281.566103591,281.743416353,280.012776859,282.59345107,279.841348612,279.872202354,280.716593655,280.413871811,286.99710649,283.90087255,285.873982948,283.63201564,285.616267835,283.683926565,284.497533689,282.296529977,281.234121134,283.584480639,280.897302037,283.211536413,286.130817892,280.59503594,282.475793522,280.730472543,280.210163525,282.493716309,281.955165569,282.207864983,283.837394615,280.981665497,281.192721435,281.745032831,281.44486189,280.722066222,284.037580032,281.955322367,282.033947685,283.259745204,285.777842745,287.160931491,287.549676708,288.283824306,282.519991881,286.206399634,287.03214593,286.783618615,285.401316498,286.685047773,285.039424979,287.681073221,285.520341882,277.771320404,283.806209732,282.74915084,284.023912927,286.630643719,287.417097011,284.631599895,284.371528974,285.78006043,280.634861741,280.843031731,285.684644467,280.179194111,280.235204148,286.449384397,284.805973281,288.14760083
2006-08-01,282.345582111,283.035754847,279.727091966,279.092952617,284.679662654,285.335746128,286.795126978,285.002160114,284.490683304,286.674912281,283.215577956,278.546146886,285.975019576,280.443177781,278.386210781,278.636197023,279.611937493,278.743927727,278.196124568,279.063026559,278.89982623,278.240738784,279.200647587,279.516286473,280.180627421,283.111073161,283.819190215,282.650866519,283.144536674,284.350408451,284.5141176,284.601594335,281.36574066,279.087225147,283.112748092,280.030600008,283.693017535,282.097083252,278.341367739,279.716948078,280.000277476,278.267045247,281.28399706,278.328891485,280.245890408,278.921157733,278.71762408,280.751635746,278.377703844,280.147005628,279.837437815,281.550832675,280.384357502,282.331922964,282.661840977,284.936028924,285.708115961,283.932476154,285.342121063,278.779587356,284.160317032,285.594553185,285.005555648,283.59644201,284.487988537,282.751848466,285.95386937,283.275679784,277.746235899,282.744957966,281.045528294,284.058510792,284.348274016,285.168322603,283.319499397,282.272472845,282.323741178,277.185325084,278.873198594,279.554447495,278.826338784,277.823342802,284.831402298,282.060177863,284.471959866
