model,ACCESS1-0,ACCESS1-3,FGOALS-g2,FIO-ESM,FIO-ESM,FIO-ESM,CMCC-CMS,IPSL-CM5B-LR,MIROC-ESM,MIROC5,MIROC5,MIROC5,MIROC5,MIROC5,CMCC-CM,FGOALS-s2,FGOALS-s2,MRI-ESM1,MPI-ESM-MR,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CanESM2,CanESM2,CanESM2,CanESM2,CanESM2,GISS-E2-R-CC,BNU-ESM,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,CCSM4,GFDL-ESM2G,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,EC-EARTH,GFDL-ESM2M,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,HadGEM2-ES,NorESM1-M,CESM1-WACCM,CESM1-WACCM,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,CNRM-CM5,CNRM-CM5,CNRM-CM5,GISS-E2-H,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,HadGEM2-AO,GISS-E2-R,GISS-E2-R,HadGEM2-CC,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,bcc-csm1-1-m,MPI-ESM-LR,MPI-ESM-LR,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5,CESM1-CAM5,CESM1-CAM5
run,run1,run1,run1,run1,run2,run3,run1,run1,run1,run1,run2,run3,run4,run5,run1,run2,run3,run1,run1,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run1,run1,run2,run3,run4,run5,run1,run1,run1,run2,run3,run4,run5,run6,run1,run1,run2,run5,run6,run7,run8,run9,run11,run12,run13,run14,run1,run1,run2,run3,run4,run1,run2,run3,run4,run1,run1,run2,run3,run4,run1,run2,run4,run6,run10,run1,run2,run1,run1,run1,run1,run1,run2,run2,run3,run1,run1,run1,run1,run2,run3,run1,run1,run2,run3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,270.7955155,270.976385162,267.601014297,268.718515966,271.169829995,274.930672146,270.758466134,273.2164374,272.753918734,272.209032495,273.161673791,273.068256285,268.924488631,271.823563077,269.064331304,273.774880452,273.915836776,272.257327598,272.786826981,270.012575805,271.852165489,270.482042406,269.768995085,271.617534741,273.739124973,271.939260522,272.10676583,271.970775371,271.751895863,270.112414178,272.933400724,269.947289588,273.061220182,269.984274696,267.237419665,269.988992148,271.55447773,273.744393745,273.52789588,267.432966511,270.583205465,271.577730925,265.614964201,273.421213008,270.091607752,264.660595022,269.944985721,268.71046816,268.775294986,269.520941662,268.864584452,267.514252777,267.951733159,270.965409451,268.198384814,267.391552476,268.069338966,269.304061395,267.626614804,268.24340879,269.02005619,268.962493896,270.438817474,271.277976991,271.276458263,272.39048034,273.708918821,274.302304369,265.742934964,270.829726565,271.884991605,269.66600207,267.944650919,272.612506383,272.309505332,271.69576497,273.114106134,272.370522058,273.13137379,273.35093554,263.369477326,271.159319396,267.336175443,267.282065645,266.924198479,268.378950537,268.996861416,271.166898045,266.910811986,273.436329888,271.135160591,268.02861964,269.349319544,269.375367596,270.030560353
2006-02-01,272.13408419,272.232713943,266.979132541,273.379846534,271.403887576,272.166453314,268.568409162,276.459083809,269.441152752,273.865463375,274.377170484,271.632367326,270.743435619,272.131136613,272.066083856,274.351531548,272.686213134,272.675728914,272.516146764,275.11568412,272.416142804,275.743426647,271.645446199,271.493213036,271.461033738,273.720831862,273.329213126,273.546103589,274.317139403,273.940757876,273.220589942,272.896032673,275.557888342,272.398270294,274.86701231,273.242348209,272.837151419,272.994626798,270.641628497,269.6813704,268.145978572,276.513327135,270.233238684,273.850221198,267.420672927,268.540457436,269.464972954,272.377196536,270.856689161,268.894677018,271.523572849,271.492875203,267.114289978,265.850745093,270.559764812,268.706147092,270.250351199,271.36175457,271.995915658,271.191469399,268.618425532,269.349517822,271.621612439,268.865515445,270.164643948,271.334744192,273.211402092,271.617822189,272.876545114,269.84290216,273.986901916,268.771668197,268.490512198,270.57256827,272.326847028,274.956633387,274.091108132,274.109493164,268.849071821,277.299102805,272.116486769,270.195320445,269.031695899,268.580263807,270.909107746,273.358352432,272.626898694,272.826517135,272.262954181,273.858948872,269.191147874,271.784304164,272.52562005,269.35120984,274.782104908
2006-03-01,275.935744173,274.103425158,272.282355339,273.213492878,274.772548612,275.283790066,275.590504565,275.939893212,270.07801692,274.640682462,277.086571796,275.229502142,278.575212397,271.760423375,274.87081028,277.11993392,277.107116134,274.371825504,277.196652558,277.665270731,271.842765263,275.676586681,276.869114208,276.122827687,276.17878554,273.226563264,276.587893371,274.349494601,273.979774118,277.669983894,277.146737131,275.819156678,274.663757674,272.176702389,271.737032219,274.791555182,276.531420974,274.988083434,275.903358648,268.480184438,272.11721881,275.143231263,273.817935236,275.830089742,268.011577457,270.218934542,272.654134725,272.03646546,269.937514905,269.746569159,273.229252408,273.005136863,269.287465019,271.646710721,270.75116645,273.436234721,273.621022239,272.464154119,273.75336328,271.163243923,272.160687933,272.582366943,274.673312831,274.419818055,272.795704911,275.093625228,276.161191108,271.533110255,275.030544636,271.308642866,276.585614602,272.010380534,271.222150192,273.786492553,273.858541885,271.68011036,274.17793943,273.20174663,272.695341278,273.05015965,275.920805896,273.606270872,269.87057542,273.279565095,273.396878082,273.684032347,276.082006689,273.907380188,273.482207755,275.472064615,274.759620912,273.70546142,275.267266218,276.437826672,276.0009442
2006-04-01,281.641295287,279.391646704,275.27806453,277.563432289,277.564076522,279.382311982,278.478546665,279.900918778,277.547260478,279.508841577,280.168947317,278.65817371,280.807424786,278.843213716,279.794904084,279.292423162,282.048139637,278.083787588,277.318899625,280.359212468,278.587956405,279.408939601,278.274809473,279.191327474,279.207203855,277.745430862,279.286359653,277.378618427,278.384894619,280.041980627,279.603247022,281.003856536,281.429083827,276.830456611,273.00960371,279.113504679,278.222063251,276.027992505,276.844555968,277.327920083,275.960812692,278.317632457,279.135940788,277.880554233,272.063344566,277.41257181,277.521838402,277.772919377,275.371902346,277.967795338,275.090454731,276.069671354,276.592504697,277.31611312,275.343599725,278.255634857,277.453881357,279.077614563,281.066983421,278.811805407,277.40746672,278.632843018,280.950560379,278.989070321,279.631841719,277.976210372,277.877349787,276.949069175,275.834281629,277.232717209,277.426071913,274.278316135,274.113899163,279.653646515,277.224903708,278.740397422,278.472891411,277.722675803,278.210194833,278.870374672,279.551451663,276.166238782,277.467203926,277.30221163,279.810880276,277.624359251,281.009152338,277.3480666,279.894632387,277.610776511,279.429002263,276.338018676,280.047985598,278.030373,278.714044637
2006-05-01,286.565096673,283.034614218,278.43443906,282.697082494,282.435097673,280.122654976,280.329648883,285.152322322,284.304386679,286.291260215,287.912389134,284.051842938,288.236219726,285.805320637,282.737339112,283.975710946,283.976715116,281.181429033,284.437385883,284.764776095,283.293446815,282.662383324,284.175848755,283.516210385,283.996704758,284.852966373,282.200703502,282.035474059,283.407714518,282.315749083,282.691765572,285.033529677,285.903917533,282.69159975,283.14503622,282.133280207,281.442937626,281.583246207,282.206193972,281.921941497,284.708476642,283.124406167,286.057151535,283.680154273,277.997158608,280.227490097,281.682484002,281.011947207,279.845881123,282.885079905,281.803417446,283.243642594,282.551155591,279.179335797,281.473653163,281.251035858,284.807475495,284.080149321,282.772761213,285.430680158,281.329957424,284.591583252,285.470556408,284.83457365,287.067638929,282.893846916,283.300360281,279.801317621,280.746867039,281.696263306,280.923934583,280.932815887,278.394321971,283.120577611,282.272669556,284.696113008,283.504684345,284.051499315,279.921191689,282.315948833,284.142468161,281.454640514,282.452018719,282.580028757,285.235394918,283.205256193,283.161423398,280.034219894,283.860098604,284.60945415,282.925923438,280.431905472,284.863554426,281.558891569,283.311999344
2006-06-01,291.143000841,289.985027434,285.724844599,285.556796554,287.430580386,287.68641896,283.884941772,286.441359654,289.638270722,290.710469794,291.853220446,291.122847537,290.650513975,293.756540373,285.819987442,292.751112857,288.338783451,284.685878027,286.461903326,290.28129223,288.728569861,288.052383038,288.316282203,288.911106368,285.957445908,289.211836052,288.235247985,286.419810095,290.543007242,288.706146625,286.108785133,292.279110117,290.318974882,288.27418015,293.669438616,288.772726049,285.209418409,285.633813118,289.701128101,288.461269341,288.758556809,290.984914938,289.792940409,289.102663237,289.646209394,287.91084462,288.438210333,287.980440286,285.674741487,287.449527816,285.637853028,288.585771703,287.213724909,286.300433171,286.045111615,287.474233042,287.456466631,287.241120302,287.396889487,290.675753079,290.558943073,288.525421143,293.774107925,294.125695711,293.353401044,290.370418528,285.444505717,285.89637736,285.714759305,288.203264637,286.618594898,288.018546964,283.164448967,284.424752152,287.319720797,286.876142453,287.738218225,288.254530774,285.773205226,287.849845193,288.527035083,285.620161309,285.021425863,288.438909769,289.627603633,288.319987966,288.958370937,287.353155663,283.286841883,287.003368072,284.980631471,285.18606143,288.286067976,288.042169041,289.217504108
2006-07-01,293.894968573,296.312411593,291.289619828,290.079996531,288.986592196,288.875573483,287.427335117,291.773154399,293.899845977,295.421762682,294.260559262,294.005727123,294.952017678,295.018585235,287.145113157,300.084774404,297.654350349,288.10110857,286.711832935,293.070106818,298.130800575,293.113183311,292.751596672,295.489148677,295.59445544,294.988533673,292.965991474,291.955615544,294.70783343,294.66421066,288.610741995,294.651248469,296.450474898,296.23875961,299.025532152,296.255772211,286.771295144,292.487042847,295.072696198,293.739174851,293.981251001,293.327743965,295.494803524,293.000679969,291.239972904,289.816252943,292.855504133,289.867961855,290.47855305,290.597943908,289.858941936,293.187049243,292.031028363,291.240526423,291.498733453,289.508644836,291.845504839,293.156731576,293.596275407,294.688835885,292.361827828,291.128265381,297.034439292,298.881674588,296.349555925,293.008646306,291.494493359,291.086486685,291.170718752,289.25657993,289.101099405,289.910111773,289.622732014,290.67431168,293.53232403,289.121317442,290.316617679,292.73712186,289.467259253,291.324294466,296.048100028,288.005762022,287.344781963,293.875369144,294.19372359,290.385585146,289.2706743,292.438118239,287.666058231,287.947666177,287.560078622,290.776347324,291.209188616,292.644129809,292.261406177
2006-08-01,293.796879934,295.204918499,288.812992034,289.235411007,287.292654136,289.864072529,286.895417163,290.498472877,291.615950168,292.348737094,293.184503773,292.617193299,292.42830926,292.620442838,286.83009548,298.698504571,296.263082782,288.287217385,285.828174218,291.551100453,293.413384331,291.487174529,292.456502162,293.783132599,294.704662597,293.46270846,292.01783537,292.678969415,291.930419676,294.48341695,289.050935694,295.912867659,295.294801106,294.927443132,296.620267539,294.655432582,287.607653011,293.488183451,296.553516543,294.430472383,291.973229922,293.055180483,293.511035267,293.014915187,289.504988485,288.734044263,292.310518642,291.806821531,288.984925781,292.275141487,289.612888466,291.071988832,292.528111907,290.820313349,290.748190347,291.549097992,290.840083721,295.524730427,295.000095422,294.515403181,294.242870792,291.307678223,296.806407078,295.475610362,296.260563117,292.496564703,289.915515365,291.424664159,288.692263601,291.356111867,290.163509373,291.478018316,290.01641953,289.764750707,293.427301268,291.583150644,288.409176723,290.361096592,289.158954865,291.873786437,296.289927601,289.212022987,285.480959715,292.08983351,295.398330713,289.127251231,289.140445521,295.166853456,289.252133656,289.298954998,287.867045218,290.35203797,293.290797693,289.57297289,292.130814064
